system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,18.71,18,183.745100194,TASWIL5000020230907KABKOTA,Kota Bandar Lampung,,0.0149927278096,1.06777371836,4326,5,,,Kota Bandar Lampung,Lampung,,0,,,2014-01,5.94306070381922,1,5.94306070381922,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,18.02,18,4559.56963493,TASWIL5000020230907KABKOTA,Lampung Tengah,,0.371724533912,5.73322890161,4326,4,,,Lampung Tengah,Lampung,,0,,,2014-01,0.3265815000515681,1,0.3265815000515681,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,18.03,18,2669.30412715,TASWIL5000020230907KABKOTA,Lampung Utara,,0.217599097736,3.01685421824,4326,4,,,Lampung Utara,Lampung,,0,,,2014-01,0.22467381437075165,1,0.22467381437075165,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,BA03050040,,,,,,,18.01,18,2227.37926069,TASWIL5000020230907KABKOTA,Lampung Selatan,,0.181778824003,5.22135215009,4326,4,,,Lampung Selatan,Lampung,,0,,,2014-01,0.433648379041105,1,0.433648379041105,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,18.13,18,2939.5981534,TASWIL5000020230907KABKOTA,Pesisir Barat,,0.239830092612,4.54629195543,4326,4,,,Pesisir Barat,Lampung,,0,Lampung Barat,,2014-01,0.07144589642902748,1,0.07144589642902748,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,18.09,18,1288.07920679,TASWIL5000020230907KABKOTA,Pesawaran,,0.105111646245,4.78530753903,4326,4,,,Pesawaran,Lampung,,0,Lampung Selatan,,2014-01,0.400936181217125,1,0.400936181217125,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,18.06,18,2947.5925056,TASWIL5000020230907KABKOTA,Tanggamus,,0.2405161117,5.75913247957,4326,4,,,Tanggamus,Lampung,,0,Lampung Selatan,,2014-01,0.1985924763280394,1,0.1985924763280394,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,18.72,18,73.214049645,TASWIL5000020230907KABKOTA,Kota Metro,,0.0059711418633,0.617456460975,4326,5,,,Kota Metro,Lampung,,0,Lampung Tengah,,2014-01,1.3997154108380383,1,1.3997154108380383,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,18.07,18,3860.92015172,TASWIL5000020230907KABKOTA,Lampung Timur,,0.314895069966,4.49354537205,4326,4,,,Lampung Timur,Lampung,,0,Lampung Tengah,,2014-01,0.23165746841635726,1,0.23165746841635726,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,18.04,18,2107.99278888,TASWIL5000020230907KABKOTA,Lampung Barat,,0.171905184326,2.66978182045,4326,4,,,Lampung Barat,Lampung,,0,Lampung Utara,,2014-01,0.13184544693613362,1,0.13184544693613362,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,18.05,18,3116.0624817,TASWIL5000020230907KABKOTA,Tulang Bawang,,0.253871688947,4.29676482775,4326,4,,,Tulang Bawang,Lampung,,0,Lampung Utara,,2014-01,0.18720309906516855,1,0.18720309906516855,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,BA03050040,,,,,,,18.08,18,3522.11369523,TASWIL5000020230907KABKOTA,Way Kanan,,0.287007599864,4.04236043488,4326,4,,,Way Kanan,Lampung,,0,Lampung Utara,,2014-01,0.16544399782943045,1,0.16544399782943045,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,18.10,18,617.192124002,TASWIL5000020230907KABKOTA,Pringsewu,,0.050353732413,1.885002831,4326,4,,,Pringsewu,Lampung,,0,Tanggamus,,2014-01,0.38979640162893586,1,0.38979640162893586,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,18.11,18,2200.41373524,TASWIL5000020230907KABKOTA,Mesuji,,0.179194038993,2.89451447415,4326,4,,,Mesuji,Lampung,,0,Tulang Bawang,,2014-01,0.18581872453448697,1,0.18581872453448697,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,18.12,18,1257.08760603,TASWIL5000020230907KABKOTA,Tulang Bawang Barat,,0.102424513415,2.9086255499,4326,4,,,Tulang Bawang Barat,Lampung,,0,Tulang Bawang,,2014-01,0.19308290089471097,1,0.19308290089471097,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,18.71,18,183.745100194,TASWIL5000020230907KABKOTA,Kota Bandar Lampung,,0.0149927278096,1.06777371836,4326,5,,,Kota Bandar Lampung,Lampung,,0,,,2014-02,7.007496073481061,2,7.007496073481061,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
