system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-01,-0.06054990672902652,1,-0.06054990672902652,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-01,-0.05152011940425656,1,-0.05152011940425656,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,93.03,93,24262.2272831,TASWIL5000020230907KABKOTA,Mappi,,1.98357914162,8.97513087476,4326,4,,,Mappi,Papua Selatan,,0,Merauke,Papua,2014-01,-0.14654046326884265,1,-0.14654046326884265,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,93.01,93,45013.3538019,TASWIL5000020230907KABKOTA,Merauke,,3.69052039227,19.4738929541,4326,4,,,Merauke,Papua Selatan,,0,,Papua,2014-01,-0.08970386574371259,1,-0.08970386574371259,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-02,0.010814701318796445,2,0.010814701318796445,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-02,-0.002824157669890623,2,-0.002824157669890623,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,93.03,93,24262.2272831,TASWIL5000020230907KABKOTA,Mappi,,1.98357914162,8.97513087476,4326,4,,,Mappi,Papua Selatan,,0,Merauke,Papua,2014-02,0.007018304122409897,2,0.007018304122409897,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,93.01,93,45013.3538019,TASWIL5000020230907KABKOTA,Merauke,,3.69052039227,19.4738929541,4326,4,,,Merauke,Papua Selatan,,0,,Papua,2014-02,0.023786055994706026,2,0.023786055994706026,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-03,0.004710271009491355,3,0.004710271009491355,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-03,0.023679512905437024,3,0.023679512905437024,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,93.03,93,24262.2272831,TASWIL5000020230907KABKOTA,Mappi,,1.98357914162,8.97513087476,4326,4,,,Mappi,Papua Selatan,,0,Merauke,Papua,2014-03,0.027870672561193563,3,0.027870672561193563,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,93.01,93,45013.3538019,TASWIL5000020230907KABKOTA,Merauke,,3.69052039227,19.4738929541,4326,4,,,Merauke,Papua Selatan,,0,,Papua,2014-03,0.042396926141503026,3,0.042396926141503026,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-04,0.048041414220118026,4,0.048041414220118026,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-04,0.18755127689955015,4,0.18755127689955015,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,93.03,93,24262.2272831,TASWIL5000020230907KABKOTA,Mappi,,1.98357914162,8.97513087476,4326,4,,,Mappi,Papua Selatan,,0,Merauke,Papua,2014-04,0.12647519792666065,4,0.12647519792666065,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,93.01,93,45013.3538019,TASWIL5000020230907KABKOTA,Merauke,,3.69052039227,19.4738929541,4326,4,,,Merauke,Papua Selatan,,0,,Papua,2014-04,0.13918356769900006,4,0.13918356769900006,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-05,-0.08882113641961499,5,-0.08882113641961499,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-05,-0.0034707542902153604,5,-0.0034707542902153604,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,BA03050040,,,,,,,93.03,93,24262.2272831,TASWIL5000020230907KABKOTA,Mappi,,1.98357914162,8.97513087476,4326,4,,,Mappi,Papua Selatan,,0,Merauke,Papua,2014-05,-0.010273086538896553,5,-0.010273086538896553,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,BA03050040,,,,,,,93.01,93,45013.3538019,TASWIL5000020230907KABKOTA,Merauke,,3.69052039227,19.4738929541,4326,4,,,Merauke,Papua Selatan,,0,,Papua,2014-05,-0.028888260115942373,5,-0.028888260115942373,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,BA03050040,,,,,,,93.04,93,25015.3064338,TASWIL5000020230907KABKOTA,Asmat,,2.04103171175,10.5051020138,4326,4,,,Asmat,Papua Selatan,,0,Merauke,Papua,2014-06,-0.12347918254070178,6,-0.12347918254070178,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,BA03050040,,,,,,,93.02,93,23558.2716032,TASWIL5000020230907KABKOTA,Boven Digoel,,1.92422305691,9.41001151939,4326,4,,,Boven Digoel,Papua Selatan,,0,Merauke,Papua,2014-06,-0.08669169571432833,6,-0.08669169571432833,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
