system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,12.09,12,3737.82989273,TASWIL5000020230907KABKOTA,Asahan,,0.304020059457,3.76868948882,4326,4,,,Asahan,Sumatera Utara,,0,,,2014-01,0.19002784464400915,1,0.19002784464400915,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,12.07,12,2581.23236021,TASWIL5000020230907KABKOTA,Deli Serdang,,0.210079807508,4.56355967626,4326,4,,,Deli Serdang,Sumatera Utara,,0,,,2014-01,1.4851544906747607,1,1.4851544906747607,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,12.75,12,93.7700748273,TASWIL5000020230907KABKOTA,Kota Binjai,,0.00763262683749,0.65128089384,4326,5,,,Kota Binjai,Sumatera Utara,,0,,,2014-01,2.0257250934514426,1,2.0257250934514426,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,12.71,12,279.290433552,TASWIL5000020230907KABKOTA,Kota Medan,,0.022734196124,1.71864948737,4326,5,,,Kota Medan,Sumatera Utara,,0,,,2014-01,12.12120639589211,1,12.12120639589211,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,12.72,12,75.9185600081,TASWIL5000020230907KABKOTA,Kota Pematangsiantar,,0.00617571930589,0.555080321534,4326,5,,,Kota Pematangsiantar,Sumatera Utara,,0,,,2014-01,2.4715040576438776,1,2.4715040576438776,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,12.73,12,11.4710426827,TASWIL5000020230907KABKOTA,Kota Sibolga,,9.3233735258E-4,0.185820374806,4326,5,,,Kota Sibolga,Sumatera Utara,,0,,,2014-01,2.635061190737613,1,2.635061190737613,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,12.74,12,60.0720621791,TASWIL5000020230907KABKOTA,Kota Tanjung Balai,,0.00488667097527,0.377391227017,4326,5,,,Kota Tanjung Balai,Sumatera Utara,,0,,,2014-01,2.370616877741243,1,2.370616877741243,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,BA03050040,,,,,,,12.76,12,39.1696858868,TASWIL5000020230907KABKOTA,Kota Tebing Tinggi,,0.00318741303661,0.49207898356,4326,5,,,Kota Tebing Tinggi,Sumatera Utara,,0,,,2014-01,4.0897840817727085,1,4.0897840817727085,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,BA03050040,,,,,,,12.10,12,2772.38401431,TASWIL5000020230907KABKOTA,Labuhanbatu,,0.225406957359,4.17169828543,4326,4,,,Labuhanbatu,Sumatera Utara,,0,,,2014-01,0.16822145541095485,1,0.16822145541095485,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,BA03050040,,,,,,,12.05,12,6140.03532891,TASWIL5000020230907KABKOTA,Langkat,,0.499845306895,5.16659457472,4326,4,,,Langkat,Sumatera Utara,,0,,,2014-01,0.1583917997209273,1,0.1583917997209273,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000022,BA03050040,,,,,,,12.03,12,4201.03498862,TASWIL5000020230907KABKOTA,Tapanuli Selatan,,0.341413369731,6.01409245312,4326,4,,,Tapanuli Selatan,Sumatera Utara,,0,,,2014-01,0.0984850565972154,1,0.0984850565972154,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000023,BA03050040,,,,,,,12.01,12,2308.36216431,TASWIL5000020230907KABKOTA,Tapanuli Tengah,,0.187629001685,6.1602384053,4326,4,,,Tapanuli Tengah,Sumatera Utara,,0,,,2014-01,0.1482053440116227,1,0.1482053440116227,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,12.19,12,888.142369922,TASWIL5000020230907KABKOTA,Batu Bara,,0.0722656593685,2.41913325344,4326,4,,,Batu Bara,Sumatera Utara,,0,Asahan,,2014-01,0.4160363525232217,1,0.4160363525232217,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000019,BA03050040,,,,,,,12.15,12,1365.60735588,TASWIL5000020230907KABKOTA,Pakpak Bharat,,0.111050334233,1.75136580475,4326,4,,,Pakpak Bharat,Sumatera Utara,,0,Dairi,,2014-01,0.06668942246334243,1,0.06668942246334243,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001b,BA03050040,,,,,,,12.18,12,1949.18009522,TASWIL5000020230907KABKOTA,Serdang Bedagai,,0.158619944451,3.26386235526,4326,4,,,Serdang Bedagai,Sumatera Utara,,0,Deli Serdang,,2014-01,0.38911672564964755,1,0.38911672564964755,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,BA03050040,,,,,,,12.22,12,3079.61005874,TASWIL5000020230907KABKOTA,Labuhanbatu Selatan,,0.250317307151,3.82292413102,4326,4,,,Labuhanbatu Selatan,Sumatera Utara,,0,Labuhanbatu,,2014-01,0.10167517708520496,1,0.10167517708520496,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,BA03050040,,,,,,,12.23,12,3686.01280274,TASWIL5000020230907KABKOTA,Labuhanbatu Utara,,0.299714669741,3.55827887335,4326,4,,,Labuhanbatu Utara,Sumatera Utara,,0,Labuhanbatu,,2014-01,0.06809574253560148,1,0.06809574253560148,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,12.78,12,208.684402973,TASWIL5000020230907KABKOTA,Kota Gunungsitoli,,0.0169579507525,0.941652079846,4326,5,,,Kota Gunungsitoli,Sumatera Utara,,0,Nias,,2014-01,0.3764475177633626,1,0.3764475177633626,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,BA03050040,,,,,,,12.04,12,902.395097243,TASWIL5000020230907KABKOTA,Nias,,0.0733241091201,1.84979636823,4326,4,,,Nias,Sumatera Utara,,0,Nias,,2014-01,0.1354497562849522,1,0.1354497562849522,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,BA03050040,,,,,,,12.25,12,464.21946205,TASWIL5000020230907KABKOTA,Nias Barat,,0.0377195686872,1.70008383162,4326,4,,,Nias Barat,Sumatera Utara,,0,Nias,,2014-01,0.14196654968582398,1,0.14196654968582398,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,BA03050040,,,,,,,12.14,12,2531.70286629,TASWIL5000020230907KABKOTA,Nias Selatan,,0.205689409455,8.43309513304,4326,4,,,Nias Selatan,Sumatera Utara,,0,Nias,,2014-01,0.10830293953321679,1,0.10830293953321679,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,BA03050040,,,,,,,12.24,12,1238.05510025,TASWIL5000020230907KABKOTA,Nias Utara,,0.100606648468,2.91673806525,4326,4,,,Nias Utara,Sumatera Utara,,0,Nias,,2014-01,0.09213589848502353,1,0.09213589848502353,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,12.77,12,159.298374778,TASWIL5000020230907KABKOTA,Kota Padang Sidempuan,,0.0129452570963,0.474038798595,4326,5,,,Kota Padang Sidempuan,Sumatera Utara,,0,Tapanuli Selatan,,2014-01,0.8423893849726166,1,0.8423893849726166,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,BA03050040,,,,,,,12.13,12,6547.25740034,TASWIL5000020230907KABKOTA,Mandailing Natal,,0.531956436125,5.64462653763,4326,4,,,Mandailing Natal,Sumatera Utara,,0,Tapanuli Selatan,,2014-01,0.24780574208319398,1,0.24780574208319398,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000017,BA03050040,,,,,,,12.21,12,3914.41335389,TASWIL5000020230907KABKOTA,Padang Lawas,,0.318073201662,3.52846622147,4326,4,,,Padang Lawas,Sumatera Utara,,0,Tapanuli Selatan,,2014-01,0.05559032161361127,1,0.05559032161361127,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000018,BA03050040,,,,,,,12.20,12,3945.55719936,TASWIL5000020230907KABKOTA,Padang Lawas Utara,,0.320662337416,5.21216139402,4326,4,,,Padang Lawas Utara,Sumatera Utara,,0,Tapanuli Selatan,,2014-01,0.04916262894854188,1,0.04916262894854188,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,12.11,12,2083.60429962,TASWIL5000020230907KABKOTA,Dairi,<Null>,0.169476903018,2.37682956061,4326,4,,,Dairi,Sumatera Utara,,0,,,2014-01,0.11243854321480212,1,0.11243854321480212,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,12.06,12,2206.87626707,TASWIL5000020230907KABKOTA,Karo,<Null>,0.179547635881,2.73420609222,4326,4,,,Karo,Sumatera Utara,,0,,,2014-01,0.14781020833046757,1,0.14781020833046757,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
