system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,52.06,52,4216.08823404,TASWIL5000020230907KABKOTA,Bima,,0.346201515238,9.13558511536,4326,4,,,Bima,Nusa Tenggara Barat,,0,,,2014-01,0.12664142533518075,1,0.12664142533518075,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,52.05,52,2281.7519954,TASWIL5000020230907KABKOTA,Dompu,,0.187363045703,4.42381124853,4326,4,,,Dompu,Nusa Tenggara Barat,,0,,,2014-01,0.12774375079893494,1,0.12774375079893494,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,52.01,52,923.057962969,TASWIL5000020230907KABKOTA,Lombok Barat,,0.0758331064669,3.71265582936,4326,4,,,Lombok Barat,Nusa Tenggara Barat,,0,,,2014-01,0.5046749223829702,1,0.5046749223829702,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,52.02,52,1169.52187249,TASWIL5000020230907KABKOTA,Lombok Tengah,,0.0960952787943,2.45797176196,4326,4,,,Lombok Tengah,Nusa Tenggara Barat,,0,,,2014-01,0.3794206549802475,1,0.3794206549802475,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,52.03,52,1606.47001029,TASWIL5000020230907KABKOTA,Lombok Timur,,0.131933298279,3.49807390177,4326,4,,,Lombok Timur,Nusa Tenggara Barat,,0,,,2014-01,0.28742814276460293,1,0.28742814276460293,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,52.04,52,6655.91723606,TASWIL5000020230907KABKOTA,Sumbawa,,0.546866950001,9.52746212955,4326,4,,,Sumbawa,Nusa Tenggara Barat,,0,,,2014-01,0.11475809351830694,1,0.11475809351830694,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,52.72,52,207.887928082,TASWIL5000020230907KABKOTA,Kota Bima,,0.0170696295055,0.902586154561,4326,5,,,Kota Bima,Nusa Tenggara Barat,,0,Bima,,2014-01,0.47666161655522965,1,0.47666161655522965,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,52.71,52,60.424093739,TASWIL5000020230907KABKOTA,Kota Mataram,,0.00496311726122,0.346948764206,4326,5,,,Kota Mataram,Nusa Tenggara Barat,,0,Lombok Barat,,2014-01,5.975682781454847,1,5.975682781454847,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,52.08,52,811.19009323,TASWIL5000020230907KABKOTA,Lombok Utara,,0.0665889419717,1.5744968782,4326,4,,,Lombok Utara,Nusa Tenggara Barat,,0,Lombok Barat,,2014-01,0.16860470400473496,1,0.16860470400473496,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,52.07,52,1743.57989259,TASWIL5000020230907KABKOTA,Sumbawa Barat,,0.143304103284,2.89717254703,4326,4,,,Sumbawa Barat,Nusa Tenggara Barat,,0,Sumbawa,,2014-01,0.33988161087789526,1,0.33988161087789526,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,52.06,52,4216.08823404,TASWIL5000020230907KABKOTA,Bima,,0.346201515238,9.13558511536,4326,4,,,Bima,Nusa Tenggara Barat,,0,,,2014-02,0.11050925177370219,2,0.11050925177370219,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,52.05,52,2281.7519954,TASWIL5000020230907KABKOTA,Dompu,,0.187363045703,4.42381124853,4326,4,,,Dompu,Nusa Tenggara Barat,,0,,,2014-02,0.11748427821329624,2,0.11748427821329624,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,52.01,52,923.057962969,TASWIL5000020230907KABKOTA,Lombok Barat,,0.0758331064669,3.71265582936,4326,4,,,Lombok Barat,Nusa Tenggara Barat,,0,,,2014-02,0.6623646502192275,2,0.6623646502192275,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,52.02,52,1169.52187249,TASWIL5000020230907KABKOTA,Lombok Tengah,,0.0960952787943,2.45797176196,4326,4,,,Lombok Tengah,Nusa Tenggara Barat,,0,,,2014-02,0.49503395731066824,2,0.49503395731066824,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,52.03,52,1606.47001029,TASWIL5000020230907KABKOTA,Lombok Timur,,0.131933298279,3.49807390177,4326,4,,,Lombok Timur,Nusa Tenggara Barat,,0,,,2014-02,0.32018746691079514,2,0.32018746691079514,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,52.04,52,6655.91723606,TASWIL5000020230907KABKOTA,Sumbawa,,0.546866950001,9.52746212955,4326,4,,,Sumbawa,Nusa Tenggara Barat,,0,,,2014-02,0.1356378887698447,2,0.1356378887698447,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,52.72,52,207.887928082,TASWIL5000020230907KABKOTA,Kota Bima,,0.0170696295055,0.902586154561,4326,5,,,Kota Bima,Nusa Tenggara Barat,,0,Bima,,2014-02,0.43687328521525415,2,0.43687328521525415,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,52.71,52,60.424093739,TASWIL5000020230907KABKOTA,Kota Mataram,,0.00496311726122,0.346948764206,4326,5,,,Kota Mataram,Nusa Tenggara Barat,,0,Lombok Barat,,2014-02,7.411042895284427,2,7.411042895284427,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,52.08,52,811.19009323,TASWIL5000020230907KABKOTA,Lombok Utara,,0.0665889419717,1.5744968782,4326,4,,,Lombok Utara,Nusa Tenggara Barat,,0,Lombok Barat,,2014-02,0.1513870968738079,2,0.1513870968738079,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,BA03050040,,,,,,,52.07,52,1743.57989259,TASWIL5000020230907KABKOTA,Sumbawa Barat,,0.143304103284,2.89717254703,4326,4,,,Sumbawa Barat,Nusa Tenggara Barat,,0,Sumbawa,,2014-02,0.3534324696458563,2,0.3534324696458563,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,52.06,52,4216.08823404,TASWIL5000020230907KABKOTA,Bima,,0.346201515238,9.13558511536,4326,4,,,Bima,Nusa Tenggara Barat,,0,,,2014-03,0.1170083902009768,3,0.1170083902009768,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,52.05,52,2281.7519954,TASWIL5000020230907KABKOTA,Dompu,,0.187363045703,4.42381124853,4326,4,,,Dompu,Nusa Tenggara Barat,,0,,,2014-03,0.12907078496503538,3,0.12907078496503538,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
