system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,95.01,95,2629.00973709,TASWIL5000020230907KABKOTA,Jayawijaya,,0.214115278699,3.1372030869,4326,4,,,Jayawijaya,Papua Pegunungan,,0,,Papua,2014-01,-0.03449299056390033,1,-0.03449299056390033,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,95.07,95,2339.77460351,TASWIL5000020230907KABKOTA,Lanny Jaya,,0.190528033376,3.05235674234,4326,4,,,Lanny Jaya,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.06287101867638945,1,-0.06287101867638945,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,95.05,95,4101.48554359,TASWIL5000020230907KABKOTA,Mamberamo Tengah,,0.333830900852,4.71927555182,4326,4,,,Mamberamo Tengah,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.06021956791271485,1,-0.06021956791271485,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,95.08,95,5886.89144816,TASWIL5000020230907KABKOTA,Nduga,,0.479637158059,4.7326891322,4326,4,,,Nduga,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.018672612915479513,1,-0.018672612915479513,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,95.02,95,13751.9152564,TASWIL5000020230907KABKOTA,Pegunungan Bintang,,1.12067416367,6.38803514439,4326,4,,,Pegunungan Bintang,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.06353798382051186,1,-0.06353798382051186,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,95.04,95,2990.0084488,TASWIL5000020230907KABKOTA,Tolikara,,0.243348295186,3.35724853773,4326,4,,,Tolikara,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.06524617627285167,1,-0.06524617627285167,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,95.03,95,16365.9376547,TASWIL5000020230907KABKOTA,Yahukimo,,1.33355103011,7.04217052795,4326,4,,,Yahukimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.041369753921217875,1,-0.041369753921217875,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,95.06,95,3148.30800832,TASWIL5000020230907KABKOTA,Yalimo,,0.256318826581,4.95247529983,4326,4,,,Yalimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-01,-0.05367214641158606,1,-0.05367214641158606,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,95.01,95,2629.00973709,TASWIL5000020230907KABKOTA,Jayawijaya,,0.214115278699,3.1372030869,4326,4,,,Jayawijaya,Papua Pegunungan,,0,,Papua,2014-02,0.01162103816799781,2,0.01162103816799781,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,95.07,95,2339.77460351,TASWIL5000020230907KABKOTA,Lanny Jaya,,0.190528033376,3.05235674234,4326,4,,,Lanny Jaya,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,0.01849695268795626,2,0.01849695268795626,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,95.05,95,4101.48554359,TASWIL5000020230907KABKOTA,Mamberamo Tengah,,0.333830900852,4.71927555182,4326,4,,,Mamberamo Tengah,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,8.942053256639419E-5,2,8.942053256639419E-5,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,95.08,95,5886.89144816,TASWIL5000020230907KABKOTA,Nduga,,0.479637158059,4.7326891322,4326,4,,,Nduga,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,0.00742218363935115,2,0.00742218363935115,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,95.02,95,13751.9152564,TASWIL5000020230907KABKOTA,Pegunungan Bintang,,1.12067416367,6.38803514439,4326,4,,,Pegunungan Bintang,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,-0.0011291173410730418,2,-0.0011291173410730418,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,95.04,95,2990.0084488,TASWIL5000020230907KABKOTA,Tolikara,,0.243348295186,3.35724853773,4326,4,,,Tolikara,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,-1.422585142514087E-5,2,-1.422585142514087E-5,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,95.03,95,16365.9376547,TASWIL5000020230907KABKOTA,Yahukimo,,1.33355103011,7.04217052795,4326,4,,,Yahukimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,-2.3082121990280317E-4,2,-2.3082121990280317E-4,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,95.06,95,3148.30800832,TASWIL5000020230907KABKOTA,Yalimo,,0.256318826581,4.95247529983,4326,4,,,Yalimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-02,7.207085309338161E-4,2,7.207085309338161E-4,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,95.01,95,2629.00973709,TASWIL5000020230907KABKOTA,Jayawijaya,,0.214115278699,3.1372030869,4326,4,,,Jayawijaya,Papua Pegunungan,,0,,Papua,2014-03,0.1341614405386712,3,0.1341614405386712,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,95.07,95,2339.77460351,TASWIL5000020230907KABKOTA,Lanny Jaya,,0.190528033376,3.05235674234,4326,4,,,Lanny Jaya,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.03734394388694432,3,0.03734394388694432,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,95.05,95,4101.48554359,TASWIL5000020230907KABKOTA,Mamberamo Tengah,,0.333830900852,4.71927555182,4326,4,,,Mamberamo Tengah,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.13721253620140608,3,0.13721253620140608,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,95.08,95,5886.89144816,TASWIL5000020230907KABKOTA,Nduga,,0.479637158059,4.7326891322,4326,4,,,Nduga,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.027463165537257927,3,0.027463165537257927,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,95.02,95,13751.9152564,TASWIL5000020230907KABKOTA,Pegunungan Bintang,,1.12067416367,6.38803514439,4326,4,,,Pegunungan Bintang,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.06855119054655022,3,0.06855119054655022,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,95.04,95,2990.0084488,TASWIL5000020230907KABKOTA,Tolikara,,0.243348295186,3.35724853773,4326,4,,,Tolikara,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.13597921940295848,3,0.13597921940295848,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,95.03,95,16365.9376547,TASWIL5000020230907KABKOTA,Yahukimo,,1.33355103011,7.04217052795,4326,4,,,Yahukimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.05997380346928741,3,0.05997380346928741,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,95.06,95,3148.30800832,TASWIL5000020230907KABKOTA,Yalimo,,0.256318826581,4.95247529983,4326,4,,,Yalimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-03,0.13052824353811793,3,0.13052824353811793,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,95.01,95,2629.00973709,TASWIL5000020230907KABKOTA,Jayawijaya,,0.214115278699,3.1372030869,4326,4,,,Jayawijaya,Papua Pegunungan,,0,,Papua,2014-04,0.19155210264846187,4,0.19155210264846187,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,95.07,95,2339.77460351,TASWIL5000020230907KABKOTA,Lanny Jaya,,0.190528033376,3.05235674234,4326,4,,,Lanny Jaya,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.13871509202636892,4,0.13871509202636892,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,95.05,95,4101.48554359,TASWIL5000020230907KABKOTA,Mamberamo Tengah,,0.333830900852,4.71927555182,4326,4,,,Mamberamo Tengah,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.07239710797698269,4,0.07239710797698269,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,95.08,95,5886.89144816,TASWIL5000020230907KABKOTA,Nduga,,0.479637158059,4.7326891322,4326,4,,,Nduga,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.11579090712515598,4,0.11579090712515598,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,95.02,95,13751.9152564,TASWIL5000020230907KABKOTA,Pegunungan Bintang,,1.12067416367,6.38803514439,4326,4,,,Pegunungan Bintang,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.2022501871599382,4,0.2022501871599382,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,BA03050040,,,,,,,95.04,95,2990.0084488,TASWIL5000020230907KABKOTA,Tolikara,,0.243348295186,3.35724853773,4326,4,,,Tolikara,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.13928083128473254,4,0.13928083128473254,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,BA03050040,,,,,,,95.03,95,16365.9376547,TASWIL5000020230907KABKOTA,Yahukimo,,1.33355103011,7.04217052795,4326,4,,,Yahukimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.12765541864021307,4,0.12765541864021307,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,BA03050040,,,,,,,95.06,95,3148.30800832,TASWIL5000020230907KABKOTA,Yalimo,,0.256318826581,4.95247529983,4326,4,,,Yalimo,Papua Pegunungan,,0,Jayawijaya,Papua,2014-04,0.12038609832967974,4,0.12038609832967974,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,BA03050040,,,,,,,95.01,95,2629.00973709,TASWIL5000020230907KABKOTA,Jayawijaya,,0.214115278699,3.1372030869,4326,4,,,Jayawijaya,Papua Pegunungan,,0,,Papua,2014-05,0.018987789785513073,5,0.018987789785513073,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,BA03050040,,,,,,,95.07,95,2339.77460351,TASWIL5000020230907KABKOTA,Lanny Jaya,,0.190528033376,3.05235674234,4326,4,,,Lanny Jaya,Papua Pegunungan,,0,Jayawijaya,Papua,2014-05,-0.04909705750628284,5,-0.04909705750628284,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,BA03050040,,,,,,,95.05,95,4101.48554359,TASWIL5000020230907KABKOTA,Mamberamo Tengah,,0.333830900852,4.71927555182,4326,4,,,Mamberamo Tengah,Papua Pegunungan,,0,Jayawijaya,Papua,2014-05,-0.07024137972755021,5,-0.07024137972755021,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
