system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,76.05,76,900.915813026,TASWIL5000020230907KABKOTA,Majene,,0.0733009284152,2.32202975377,4326,4,,,Majene,Sulawesi Barat,,0,,Sulawesi Selatan,2014-01,0.08434705684858368,1,0.08434705684858368,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,76.02,76,4942.25209752,TASWIL5000020230907KABKOTA,Mamuju,,0.401893274265,5.36780249219,4326,4,,,Mamuju,Sulawesi Barat,,0,,Sulawesi Selatan,2014-01,0.069446431208189,1,0.069446431208189,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,76.04,76,2075.27102616,TASWIL5000020230907KABKOTA,Polewali Mandar,,0.168871394483,2.72027247972,4326,4,,,Polewali Mandar,Sulawesi Barat,,0,,Sulawesi Selatan,2014-01,0.06353525259378597,1,0.06353525259378597,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,76.06,76,2758.33482947,TASWIL5000020230907KABKOTA,Mamuju Tengah,,0.224223370415,3.30448539571,4326,4,,,Mamuju Tengah,Sulawesi Barat,,0,Mamuju,Sulawesi Selatan,2014-01,0.10264297293410578,1,0.10264297293410578,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,76.01,76,2903.18349864,TASWIL5000020230907KABKOTA,Pasangkayu,,0.235936664156,4.19099489138,4326,4,,,Pasangkayu,Sulawesi Barat,,0,Mamuju,Sulawesi Selatan,2014-01,0.040765934838993136,1,0.040765934838993136,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,76.03,76,3016.1297531,TASWIL5000020230907KABKOTA,Mamasa,,0.245349382766,3.22345660154,4326,4,,,Mamasa,Sulawesi Barat,,0,Polewali Mandar,Sulawesi Selatan,2014-01,0.052580224574753205,1,0.052580224574753205,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,76.05,76,900.915813026,TASWIL5000020230907KABKOTA,Majene,,0.0733009284152,2.32202975377,4326,4,,,Majene,Sulawesi Barat,,0,,Sulawesi Selatan,2014-02,0.0822106689636957,2,0.0822106689636957,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,76.02,76,4942.25209752,TASWIL5000020230907KABKOTA,Mamuju,,0.401893274265,5.36780249219,4326,4,,,Mamuju,Sulawesi Barat,,0,,Sulawesi Selatan,2014-02,0.09424412817967005,2,0.09424412817967005,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,76.04,76,2075.27102616,TASWIL5000020230907KABKOTA,Polewali Mandar,,0.168871394483,2.72027247972,4326,4,,,Polewali Mandar,Sulawesi Barat,,0,,Sulawesi Selatan,2014-02,0.071203038279973,2,0.071203038279973,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,76.06,76,2758.33482947,TASWIL5000020230907KABKOTA,Mamuju Tengah,,0.224223370415,3.30448539571,4326,4,,,Mamuju Tengah,Sulawesi Barat,,0,Mamuju,Sulawesi Selatan,2014-02,0.03300079085411256,2,0.03300079085411256,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,76.01,76,2903.18349864,TASWIL5000020230907KABKOTA,Pasangkayu,,0.235936664156,4.19099489138,4326,4,,,Pasangkayu,Sulawesi Barat,,0,Mamuju,Sulawesi Selatan,2014-02,0.05821691179651148,2,0.05821691179651148,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,76.03,76,3016.1297531,TASWIL5000020230907KABKOTA,Mamasa,,0.245349382766,3.22345660154,4326,4,,,Mamasa,Sulawesi Barat,,0,Polewali Mandar,Sulawesi Selatan,2014-02,0.046935096109176615,2,0.046935096109176615,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,76.05,76,900.915813026,TASWIL5000020230907KABKOTA,Majene,,0.0733009284152,2.32202975377,4326,4,,,Majene,Sulawesi Barat,,0,,Sulawesi Selatan,2014-03,0.2525544223511804,3,0.2525544223511804,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,76.02,76,4942.25209752,TASWIL5000020230907KABKOTA,Mamuju,,0.401893274265,5.36780249219,4326,4,,,Mamuju,Sulawesi Barat,,0,,Sulawesi Selatan,2014-03,0.07330917202205012,3,0.07330917202205012,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
