system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,11.05,11,2782.87300746,TASWIL5000020230907KABKOTA,Aceh Barat,,0.226750515046,2.62468318779,4326,4,,,Aceh Barat,Aceh,,0,,,1828.5023762661626,1828.5023762661626,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,11.06,11,2891.47739213,TASWIL5000020230907KABKOTA,Aceh Besar,,0.235918624636,4.66814881631,4326,4,,,Aceh Besar,Aceh,,0,,,1835.510002019134,1835.510002019134,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,11.01,11,4175.37468861,TASWIL5000020230907KABKOTA,Aceh Selatan,,0.339720173363,4.37648280244,4326,4,,,Aceh Selatan,Aceh,,0,,,1824.6837873595898,1824.6837873595898,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,11.03,11,5409.40641866,TASWIL5000020230907KABKOTA,Aceh Timur,,0.440869215108,5.28903128753,4326,4,,,Aceh Timur,Aceh,,0,,,1810.5314182060354,1810.5314182060354,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,11.08,11,2705.25529095,TASWIL5000020230907KABKOTA,Aceh Utara,,0.220600008477,3.91312406878,4326,4,,,Aceh Utara,Aceh,,0,,,1809.4403141204368,1809.4403141204368,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,BA03050040,,,,,,,11.07,11,3177.4851735,TASWIL5000020230907KABKOTA,Pidie,,0.259123987029,3.56407048066,4326,4,,,Pidie,Aceh,,0,,,1826.581175528524,1826.581175528524,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,11.14,11,3872.35246729,TASWIL5000020230907KABKOTA,Aceh Jaya,,0.31568753266,3.39233252383,4326,4,,,Aceh Jaya,Aceh,,0,Aceh Barat,,1815.078711572274,1815.078711572274,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,BA03050040,,,,,,,11.15,11,3524.16434222,TASWIL5000020230907KABKOTA,Nagan Raya,,0.287045501578,3.3560376394,4326,4,,,Nagan Raya,Aceh,,0,Aceh Barat,,1828.211188150121,1828.211188150121,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,11.12,11,1882.27668753,TASWIL5000020230907KABKOTA,Aceh Barat Daya,,0.153249919621,2.27246509623,4326,4,,,Aceh Barat Daya,Aceh,,0,Aceh Selatan,,1824.2630584916255,1824.2630584916255,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,11.10,11,1852.82339582,TASWIL5000020230907KABKOTA,Aceh Singkil,,0.150648456571,4.78275968638,4326,4,,,Aceh Singkil,Aceh,,0,Aceh Selatan,,1839.267632232903,1839.267632232903,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,11.17,11,1907.39929778,TASWIL5000020230907KABKOTA,Bener Meriah,,0.155483174426,2.45427827631,4326,4,,,Bener Meriah,Aceh,,0,Aceh Tengah,,1801.5906896785248,1801.5906896785248,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,BA03050040,,,,,,,11.75,11,1183.60080586,TASWIL5000020230907KABKOTA,Kota Subulussalam,,0.0962633536401,1.82130574222,4326,5,,,Kota Subulussalam,Aceh,,0,Aceh Singkil,,1825.881629621347,1825.881629621347,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,11.05,11,2782.87300746,TASWIL5000020230907KABKOTA,Aceh Barat,,0.226750515046,2.62468318779,4326,4,,,Aceh Barat,Aceh,,0,,,1844.412126574846,1844.412126574846,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,11.01,11,4175.37468861,TASWIL5000020230907KABKOTA,Aceh Selatan,,0.339720173363,4.37648280244,4326,4,,,Aceh Selatan,Aceh,,0,,,1834.6359964607823,1834.6359964607823,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,11.02,11,4179.12321842,TASWIL5000020230907KABKOTA,Aceh Tenggara,,0.340089875341,3.38135402432,4326,4,,,Aceh Tenggara,Aceh,,0,,,1824.8360330028906,1824.8360330028906,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,BA03050040,,,,,,,11.03,11,5409.40641866,TASWIL5000020230907KABKOTA,Aceh Timur,,0.440869215108,5.28903128753,4326,4,,,Aceh Timur,Aceh,,0,,,1867.363419980781,1867.363419980781,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,BA03050040,,,,,,,11.08,11,2705.25529095,TASWIL5000020230907KABKOTA,Aceh Utara,,0.220600008477,3.91312406878,4326,4,,,Aceh Utara,Aceh,,0,,,1870.9882804590002,1870.9882804590002,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,11.10,11,1852.82339582,TASWIL5000020230907KABKOTA,Aceh Singkil,,0.150648456571,4.78275968638,4326,4,,,Aceh Singkil,Aceh,,0,Aceh Selatan,,1841.7482799873906,1841.7482799873906,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012,BA03050040,,,,,,,11.75,11,1183.60080586,TASWIL5000020230907KABKOTA,Kota Subulussalam,,0.0962633536401,1.82130574222,4326,5,,,Kota Subulussalam,Aceh,,0,Aceh Singkil,,1851.8688395159588,1851.8688395159588,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,11.05,11,2782.87300746,TASWIL5000020230907KABKOTA,Aceh Barat,,0.226750515046,2.62468318779,4326,4,,,Aceh Barat,Aceh,,0,,,1840.3351933542383,1840.3351933542383,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,11.06,11,2891.47739213,TASWIL5000020230907KABKOTA,Aceh Besar,,0.235918624636,4.66814881631,4326,4,,,Aceh Besar,Aceh,,0,,,1860.9364234781015,1860.9364234781015,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,11.01,11,4175.37468861,TASWIL5000020230907KABKOTA,Aceh Selatan,,0.339720173363,4.37648280244,4326,4,,,Aceh Selatan,Aceh,,0,,,1851.7299400225788,1851.7299400225788,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,BA03050040,,,,,,,11.03,11,5409.40641866,TASWIL5000020230907KABKOTA,Aceh Timur,,0.440869215108,5.28903128753,4326,4,,,Aceh Timur,Aceh,,0,,,1858.6987899901005,1858.6987899901005,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,BA03050040,,,,,,,11.08,11,2705.25529095,TASWIL5000020230907KABKOTA,Aceh Utara,,0.220600008477,3.91312406878,4326,4,,,Aceh Utara,Aceh,,0,,,1864.0292348501594,1864.0292348501594,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000014,BA03050040,,,,,,,11.07,11,3177.4851735,TASWIL5000020230907KABKOTA,Pidie,,0.259123987029,3.56407048066,4326,4,,,Pidie,Aceh,,0,,,1887.8496979022766,1887.8496979022766,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,11.14,11,3872.35246729,TASWIL5000020230907KABKOTA,Aceh Jaya,,0.31568753266,3.39233252383,4326,4,,,Aceh Jaya,Aceh,,0,Aceh Barat,,1873.2334974841724,1873.2334974841724,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000013,BA03050040,,,,,,,11.15,11,3524.16434222,TASWIL5000020230907KABKOTA,Nagan Raya,,0.287045501578,3.3560376394,4326,4,,,Nagan Raya,Aceh,,0,Aceh Barat,,1835.4789102593868,1835.4789102593868,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,11.12,11,1882.27668753,TASWIL5000020230907KABKOTA,Aceh Barat Daya,,0.153249919621,2.27246509623,4326,4,,,Aceh Barat Daya,Aceh,,0,Aceh Selatan,,1845.798872667033,1845.798872667033,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,11.10,11,1852.82339582,TASWIL5000020230907KABKOTA,Aceh Singkil,,0.150648456571,4.78275968638,4326,4,,,Aceh Singkil,Aceh,,0,Aceh Selatan,,1826.6470015221346,1826.6470015221346,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,11.16,11,2187.6571104,TASWIL5000020230907KABKOTA,Aceh Tamiang,,0.178199047208,2.79886997066,4326,4,,,Aceh Tamiang,Aceh,,0,Aceh Timur,,1856.873327132484,1856.873327132484,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,BA03050040,,,,,,,11.11,11,1796.99237312,TASWIL5000020230907KABKOTA,Bireuen,,0.146552808824,2.04198521696,4326,4,,,Bireuen,Aceh,,0,Aceh Utara,,1909.6270766258194,1909.6270766258194,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000012,BA03050040,,,,,,,11.75,11,1183.60080586,TASWIL5000020230907KABKOTA,Kota Subulussalam,,0.0962633536401,1.82130574222,4326,5,,,Kota Subulussalam,Aceh,,0,Aceh Singkil,,1844.4159576740763,1844.4159576740763,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f,BA03050040,,,,,,,11.74,11,224.235263547,TASWIL5000020230907KABKOTA,Kota Langsa,,0.0182714573654,1.04246772639,4326,5,,,Kota Langsa,Aceh,,0,Aceh Timur,,1868.7640160974188,1868.7640160974188,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,11.05,11,2782.87300746,TASWIL5000020230907KABKOTA,Aceh Barat,,0.226750515046,2.62468318779,4326,4,,,Aceh Barat,Aceh,,0,,,1871.6271358031574,1871.6271358031574,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,11.01,11,4175.37468861,TASWIL5000020230907KABKOTA,Aceh Selatan,,0.339720173363,4.37648280244,4326,4,,,Aceh Selatan,Aceh,,0,,,1864.2974790321907,1864.2974790321907,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,BA03050040,,,,,,,11.02,11,4179.12321842,TASWIL5000020230907KABKOTA,Aceh Tenggara,,0.340089875341,3.38135402432,4326,4,,,Aceh Tenggara,Aceh,,0,,,1842.2997985507986,1842.2997985507986,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,BA03050040,,,,,,,11.03,11,5409.40641866,TASWIL5000020230907KABKOTA,Aceh Timur,,0.440869215108,5.28903128753,4326,4,,,Aceh Timur,Aceh,,0,,,1876.6849389120569,1876.6849389120569,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
