system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,17.01,17,1219.21803946,TASWIL5000020230907KABKOTA,Bengkulu Selatan,,0.0993287731169,1.81713201959,4326,4,,,Bengkulu Selatan,Bengkulu,,0,,,1818.1302259909992,1818.1302259909992,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,17.03,17,4481.99177193,TASWIL5000020230907KABKOTA,Bengkulu Utara,,0.364775353826,4.49043562233,4326,4,,,Bengkulu Utara,Bengkulu,,0,,,1810.638677063392,1810.638677063392,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,17.71,17,150.348272271,TASWIL5000020230907KABKOTA,Kota Bengkulu,,0.0122412015477,0.924102307605,4326,5,,,Kota Bengkulu,Bengkulu,,0,,,1817.4254627120624,1817.4254627120624,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,17.02,17,1559.41883395,TASWIL5000020230907KABKOTA,Rejang Lebong,,0.126909994211,2.15247508028,4326,4,,,Rejang Lebong,Bengkulu,,0,,,1809.8807562383909,1809.8807562383909,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,17.04,17,2608.55629381,TASWIL5000020230907KABKOTA,Kaur,,0.212591958209,2.9309789308,4326,4,,,Kaur,Bengkulu,,0,Bengkulu Selatan,,1806.3198205801634,1806.3198205801634,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,17.05,17,2432.16358983,TASWIL5000020230907KABKOTA,Seluma,,0.198073483515,2.52360350375,4326,4,,,Seluma,Bengkulu,,0,Bengkulu Selatan,,1812.8936143776941,1812.8936143776941,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,17.09,17,1132.37980154,TASWIL5000020230907KABKOTA,Bengkulu Tengah,,0.0921811750625,1.69106213946,4326,4,,,Bengkulu Tengah,Bengkulu,,0,Bengkulu Utara,,1814.4343909663658,1814.4343909663658,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,17.06,17,4138.67744948,TASWIL5000020230907KABKOTA,Muko Muko,,0.336592747024,2.86802508124,4326,4,,,Muko Muko,Bengkulu,,0,Bengkulu Utara,,1813.6134785386828,1813.6134785386828,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,17.08,17,738.965373021,TASWIL5000020230907KABKOTA,Kepahiang,,0.0601516399313,1.25949783888,4326,4,,,Kepahiang,Bengkulu,,0,Rejang Lebong,,1815.2845066730138,1815.2845066730138,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,17.01,17,1219.21803946,TASWIL5000020230907KABKOTA,Bengkulu Selatan,,0.0993287731169,1.81713201959,4326,4,,,Bengkulu Selatan,Bengkulu,,0,,,1818.8300850043236,1818.8300850043236,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,17.03,17,4481.99177193,TASWIL5000020230907KABKOTA,Bengkulu Utara,,0.364775353826,4.49043562233,4326,4,,,Bengkulu Utara,Bengkulu,,0,,,1813.572931070937,1813.572931070937,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,17.71,17,150.348272271,TASWIL5000020230907KABKOTA,Kota Bengkulu,,0.0122412015477,0.924102307605,4326,5,,,Kota Bengkulu,Bengkulu,,0,,,1815.2857376363352,1815.2857376363352,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,17.02,17,1559.41883395,TASWIL5000020230907KABKOTA,Rejang Lebong,,0.126909994211,2.15247508028,4326,4,,,Rejang Lebong,Bengkulu,,0,,,1802.0998438342863,1802.0998438342863,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,17.04,17,2608.55629381,TASWIL5000020230907KABKOTA,Kaur,,0.212591958209,2.9309789308,4326,4,,,Kaur,Bengkulu,,0,Bengkulu Selatan,,1827.2006389013502,1827.2006389013502,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,BA03050040,,,,,,,17.05,17,2432.16358983,TASWIL5000020230907KABKOTA,Seluma,,0.198073483515,2.52360350375,4326,4,,,Seluma,Bengkulu,,0,Bengkulu Selatan,,1812.2890795881626,1812.2890795881626,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,17.09,17,1132.37980154,TASWIL5000020230907KABKOTA,Bengkulu Tengah,,0.0921811750625,1.69106213946,4326,4,,,Bengkulu Tengah,Bengkulu,,0,Bengkulu Utara,,1806.6927905724467,1806.6927905724467,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,17.06,17,4138.67744948,TASWIL5000020230907KABKOTA,Muko Muko,,0.336592747024,2.86802508124,4326,4,,,Muko Muko,Bengkulu,,0,Bengkulu Utara,,1818.5774523460523,1818.5774523460523,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,17.08,17,738.965373021,TASWIL5000020230907KABKOTA,Kepahiang,,0.0601516399313,1.25949783888,4326,4,,,Kepahiang,Bengkulu,,0,Rejang Lebong,,1828.871908801565,1828.871908801565,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,17.01,17,1219.21803946,TASWIL5000020230907KABKOTA,Bengkulu Selatan,,0.0993287731169,1.81713201959,4326,4,,,Bengkulu Selatan,Bengkulu,,0,,,1825.55369891841,1825.55369891841,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,17.03,17,4481.99177193,TASWIL5000020230907KABKOTA,Bengkulu Utara,,0.364775353826,4.49043562233,4326,4,,,Bengkulu Utara,Bengkulu,,0,,,1807.3415627435993,1807.3415627435993,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,17.71,17,150.348272271,TASWIL5000020230907KABKOTA,Kota Bengkulu,,0.0122412015477,0.924102307605,4326,5,,,Kota Bengkulu,Bengkulu,,0,,,1807.53586652713,1807.53586652713,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,BA03050040,,,,,,,17.02,17,1559.41883395,TASWIL5000020230907KABKOTA,Rejang Lebong,,0.126909994211,2.15247508028,4326,4,,,Rejang Lebong,Bengkulu,,0,,,1827.9887903921585,1827.9887903921585,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,17.04,17,2608.55629381,TASWIL5000020230907KABKOTA,Kaur,,0.212591958209,2.9309789308,4326,4,,,Kaur,Bengkulu,,0,Bengkulu Selatan,,1827.7427061804956,1827.7427061804956,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,BA03050040,,,,,,,17.05,17,2432.16358983,TASWIL5000020230907KABKOTA,Seluma,,0.198073483515,2.52360350375,4326,4,,,Seluma,Bengkulu,,0,Bengkulu Selatan,,1823.1574559074913,1823.1574559074913,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,17.09,17,1132.37980154,TASWIL5000020230907KABKOTA,Bengkulu Tengah,,0.0921811750625,1.69106213946,4326,4,,,Bengkulu Tengah,Bengkulu,,0,Bengkulu Utara,,1815.9822530465433,1815.9822530465433,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,17.06,17,4138.67744948,TASWIL5000020230907KABKOTA,Muko Muko,,0.336592747024,2.86802508124,4326,4,,,Muko Muko,Bengkulu,,0,Bengkulu Utara,,1830.888405137759,1830.888405137759,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,17.08,17,738.965373021,TASWIL5000020230907KABKOTA,Kepahiang,,0.0601516399313,1.25949783888,4326,4,,,Kepahiang,Bengkulu,,0,Rejang Lebong,,1806.5497685088121,1806.5497685088121,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,17.01,17,1219.21803946,TASWIL5000020230907KABKOTA,Bengkulu Selatan,,0.0993287731169,1.81713201959,4326,4,,,Bengkulu Selatan,Bengkulu,,0,,,1839.1278480799936,1839.1278480799936,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,17.03,17,4481.99177193,TASWIL5000020230907KABKOTA,Bengkulu Utara,,0.364775353826,4.49043562233,4326,4,,,Bengkulu Utara,Bengkulu,,0,,,1838.2662776945158,1838.2662776945158,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,BA03050040,,,,,,,17.71,17,150.348272271,TASWIL5000020230907KABKOTA,Kota Bengkulu,,0.0122412015477,0.924102307605,4326,5,,,Kota Bengkulu,Bengkulu,,0,,,1849.984036475086,1849.984036475086,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,BA03050040,,,,,,,17.02,17,1559.41883395,TASWIL5000020230907KABKOTA,Rejang Lebong,,0.126909994211,2.15247508028,4326,4,,,Rejang Lebong,Bengkulu,,0,,,1849.5720415835312,1849.5720415835312,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,17.04,17,2608.55629381,TASWIL5000020230907KABKOTA,Kaur,,0.212591958209,2.9309789308,4326,4,,,Kaur,Bengkulu,,0,Bengkulu Selatan,,1861.9913576382237,1861.9913576382237,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,BA03050040,,,,,,,17.05,17,2432.16358983,TASWIL5000020230907KABKOTA,Seluma,,0.198073483515,2.52360350375,4326,4,,,Seluma,Bengkulu,,0,Bengkulu Selatan,,1846.7843506622928,1846.7843506622928,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,17.09,17,1132.37980154,TASWIL5000020230907KABKOTA,Bengkulu Tengah,,0.0921811750625,1.69106213946,4326,4,,,Bengkulu Tengah,Bengkulu,,0,Bengkulu Utara,,1853.8871122134908,1853.8871122134908,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,BA03050040,,,,,,,17.06,17,4138.67744948,TASWIL5000020230907KABKOTA,Muko Muko,,0.336592747024,2.86802508124,4326,4,,,Muko Muko,Bengkulu,,0,Bengkulu Utara,,1840.8950605592997,1840.8950605592997,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
