system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1827.5018821621704,1827.5018821621704,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1825.7724965227503,1825.7724965227503,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1824.4851991753774,1824.4851991753774,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1833.824934079502,1833.824934079502,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1835.3326718540175,1835.3326718540175,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1849.5698161964035,1849.5698161964035,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1833.6302955018498,1833.6302955018498,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1836.327854796918,1836.327854796918,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1849.1481770403625,1849.1481770403625,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1856.588092976874,1856.588092976874,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1844.5207632169936,1844.5207632169936,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1841.6920792487422,1841.6920792487422,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1828.6511005590312,1828.6511005590312,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1837.1101018911465,1837.1101018911465,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1849.449704571908,1849.449704571908,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1846.4562313045951,1846.4562313045951,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1828.4169589858286,1828.4169589858286,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1880.0627514443277,1880.0627514443277,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1840.5527234440644,1840.5527234440644,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1842.5072877499124,1842.5072877499124,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1873.3522153499705,1873.3522153499705,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1870.3704779492905,1870.3704779492905,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1876.4497254865416,1876.4497254865416,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1876.9200070866607,1876.9200070866607,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1878.5811052919155,1878.5811052919155,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1871.6015847159886,1871.6015847159886,Sentinel-5P TROPOMI CH4,ppb,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1863.1141146927444,1863.1141146927444,Sentinel-5P TROPOMI CH4,ppb,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1876.2817625012801,1876.2817625012801,Sentinel-5P TROPOMI CH4,ppb,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1889.0337093067124,1889.0337093067124,Sentinel-5P TROPOMI CH4,ppb,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1883.5054899244349,1883.5054899244349,Sentinel-5P TROPOMI CH4,ppb,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,1879.5366597047566,1879.5366597047566,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,1868.881892194807,1868.881892194807,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,1883.7873690689348,1883.7873690689348,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,1896.7766456201543,1896.7766456201543,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,1896.0215948851635,1896.0215948851635,Sentinel-5P TROPOMI CH4,ppb,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
