system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,33.04,33,1144.89624286,TASWIL5000020230907KABKOTA,Banjarnegara,,0.0937628524268,2.29737857296,4326,4,,,Banjarnegara,Jawa Tengah,,0,,,1821.241923713912,1821.241923713912,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,33.02,33,1391.15298242,TASWIL5000020230907KABKOTA,Banyumas,,0.113956574472,2.1971315672,4326,4,,,Banyumas,Jawa Tengah,,0,,,1833.7372505233789,1833.7372505233789,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,33.25,33,857.265387968,TASWIL5000020230907KABKOTA,Batang,,0.0701572178555,1.53113691966,4326,4,,,Batang,Jawa Tengah,,0,,,1817.1488739412848,1817.1488739412848,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,33.16,33,1957.28906019,TASWIL5000020230907KABKOTA,Blora,,0.160199569337,2.58866522739,4326,4,,,Blora,Jawa Tengah,,0,,,1841.5929761090592,1841.5929761090592,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,33.09,33,1096.59390274,TASWIL5000020230907KABKOTA,Boyolali,,0.0898200045796,3.0343275111,4326,4,,,Boyolali,Jawa Tengah,,0,,,1833.3855375328171,1833.3855375328171,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,33.29,33,1742.81046482,TASWIL5000020230907KABKOTA,Brebes,,0.142641649292,3.15258525322,4326,4,,,Brebes,Jawa Tengah,,0,,,1833.3499847246926,1833.3499847246926,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,33.01,33,2323.92611642,TASWIL5000020230907KABKOTA,Cilacap,,0.190379615481,4.83872979489,4326,4,,,Cilacap,Jawa Tengah,,0,,,1828.0971407231602,1828.0971407231602,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,33.21,33,977.770492704,TASWIL5000020230907KABKOTA,Demak,,0.0800008869006,2.70273254321,4326,4,,,Demak,Jawa Tengah,,0,,,1837.7660882742632,1837.7660882742632,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,33.15,33,2023.84920331,TASWIL5000020230907KABKOTA,Grobogan,,0.165662291318,3.19641008495,4326,4,,,Grobogan,Jawa Tengah,,0,,,1840.3180447733246,1840.3180447733246,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,33.20,33,1020.24572452,TASWIL5000020230907KABKOTA,Jepara,,0.0834159802669,2.99264977548,4326,4,,,Jepara,Jawa Tengah,,0,,,1830.0750118452831,1830.0750118452831,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
