system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000002,BA03050040,,,,,,,61.06,61,31318.2461503,TASWIL5000020230907KABKOTA,Kapuas Hulu,,2.54462852025,10.3235168378,4326,4,,,Kapuas Hulu,Kalimantan Barat,,0,,,1801.7870756784391,1801.7870756784391,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,61.04,61,30018.6763396,TASWIL5000020230907KABKOTA,Ketapang,,2.43989292708,13.6255621311,4326,4,,,Ketapang,Kalimantan Barat,,0,,,1808.3014079320544,1808.3014079320544,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,61.02,61,1935.41897259,TASWIL5000020230907KABKOTA,Mempawah,,0.157238724723,3.1173764195,4326,4,,,Mempawah,Kalimantan Barat,,0,,,1811.7896988772509,1811.7896988772509,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,61.01,61,5937.99495327,TASWIL5000020230907KABKOTA,Sambas,,0.482557384329,4.23082967505,4326,4,,,Sambas,Kalimantan Barat,,0,,,1816.2860654426192,1816.2860654426192,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,61.03,61,12452.2241518,TASWIL5000020230907KABKOTA,Sanggau,,1.01166258397,7.65307697656,4326,4,,,Sanggau,Kalimantan Barat,,0,,,1829.3990048309095,1829.3990048309095,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,BA03050040,,,,,,,61.05,61,22025.7880014,TASWIL5000020230907KABKOTA,Sintang,,1.78944370224,11.9811145851,4326,4,,,Sintang,Kalimantan Barat,,0,,,1805.7852113445485,1805.7852113445485,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,61.11,61,4110.12301412,TASWIL5000020230907KABKOTA,Kayong Utara,,0.333972050772,6.99327188474,4326,4,,,Kayong Utara,Kalimantan Barat,,0,Ketapang,,1820.748729707455,1820.748729707455,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,61.12,61,8549.29358265,TASWIL5000020230907KABKOTA,Kubu Raya,,0.694575912143,12.4289126619,4326,4,,,Kubu Raya,Kalimantan Barat,,0,Pontianak,,1810.2243077464027,1810.2243077464027,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,61.08,61,8430.71056018,TASWIL5000020230907KABKOTA,Landak,,0.684950096963,6.11846983154,4326,4,,,Landak,Kalimantan Barat,,0,Pontianak,,1825.244569760327,1825.244569760327,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,BA03050040,,,,,,,61.07,61,5488.60795319,TASWIL5000020230907KABKOTA,Bengkayang,,0.445970285372,6.02675176554,4326,4,,,Bengkayang,Kalimantan Barat,,0,Sambas,,1815.8974557677489,1815.8974557677489,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
