system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,64.03,64,21008.6398183,TASWIL5000020230907KABKOTA,Berau,,1.70771873526,19.1051645916,4326,4,,,Berau,Kalimantan Timur,,0,,,1815.198199394205,1815.198199394205,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,64.02,64,26926.4942028,TASWIL5000020230907KABKOTA,Kutai Kartanegara,,2.18766401506,26.6176241018,4326,4,,,Kutai Kartanegara,Kalimantan Timur,,0,,,1801.684930431189,1801.684930431189,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,64.01,64,10780.6270829,TASWIL5000020230907KABKOTA,Paser,,0.876236429335,6.97548731685,4326,4,,,Paser,Kalimantan Timur,,0,,,1806.5599298105624,1806.5599298105624,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,64.07,64,13611.1678544,TASWIL5000020230907KABKOTA,Kutai Barat,,1.10584299351,6.39989825951,4326,4,,,Kutai Barat,Kalimantan Timur,,0,Kutai,,1802.8721424377663,1802.8721424377663,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,64.08,64,31580.1823793,TASWIL5000020230907KABKOTA,Kutai Timur,,2.56602907313,15.3755425489,4326,4,,,Kutai Timur,Kalimantan Timur,,0,Kutai,,1810.8783797849812,1810.8783797849812,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,64.11,64,18492.2245188,TASWIL5000020230907KABKOTA,Mahakam Ulu,,1.50248112186,9.67222359811,4326,4,,,Mahakam Ulu,Kalimantan Timur,,0,Kutai Barat,,1815.0240695008808,1815.0240695008808,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,64.03,64,21008.6398183,TASWIL5000020230907KABKOTA,Berau,,1.70771873526,19.1051645916,4326,4,,,Berau,Kalimantan Timur,,0,,,1812.2003604649897,1812.2003604649897,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,64.02,64,26926.4942028,TASWIL5000020230907KABKOTA,Kutai Kartanegara,,2.18766401506,26.6176241018,4326,4,,,Kutai Kartanegara,Kalimantan Timur,,0,,,1816.116220557597,1816.116220557597,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,64.01,64,10780.6270829,TASWIL5000020230907KABKOTA,Paser,,0.876236429335,6.97548731685,4326,4,,,Paser,Kalimantan Timur,,0,,,1841.9479169601045,1841.9479169601045,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,64.07,64,13611.1678544,TASWIL5000020230907KABKOTA,Kutai Barat,,1.10584299351,6.39989825951,4326,4,,,Kutai Barat,Kalimantan Timur,,0,Kutai,,1842.7503144100676,1842.7503144100676,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,64.08,64,31580.1823793,TASWIL5000020230907KABKOTA,Kutai Timur,,2.56602907313,15.3755425489,4326,4,,,Kutai Timur,Kalimantan Timur,,0,Kutai,,1829.475278251191,1829.475278251191,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,64.11,64,18492.2245188,TASWIL5000020230907KABKOTA,Mahakam Ulu,,1.50248112186,9.67222359811,4326,4,,,Mahakam Ulu,Kalimantan Timur,,0,Kutai Barat,,1828.8668935250862,1828.8668935250862,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,64.03,64,21008.6398183,TASWIL5000020230907KABKOTA,Berau,,1.70771873526,19.1051645916,4326,4,,,Berau,Kalimantan Timur,,0,,,1828.389855308571,1828.389855308571,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,64.02,64,26926.4942028,TASWIL5000020230907KABKOTA,Kutai Kartanegara,,2.18766401506,26.6176241018,4326,4,,,Kutai Kartanegara,Kalimantan Timur,,0,,,1834.4688013903005,1834.4688013903005,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,BA03050040,,,,,,,64.01,64,10780.6270829,TASWIL5000020230907KABKOTA,Paser,,0.876236429335,6.97548731685,4326,4,,,Paser,Kalimantan Timur,,0,,,1832.7297355708108,1832.7297355708108,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,64.07,64,13611.1678544,TASWIL5000020230907KABKOTA,Kutai Barat,,1.10584299351,6.39989825951,4326,4,,,Kutai Barat,Kalimantan Timur,,0,Kutai,,1827.694545002213,1827.694545002213,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,64.08,64,31580.1823793,TASWIL5000020230907KABKOTA,Kutai Timur,,2.56602907313,15.3755425489,4326,4,,,Kutai Timur,Kalimantan Timur,,0,Kutai,,1828.7491523204346,1828.7491523204346,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
