system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000006,BA03050040,,,,,,,21.04,21,2210.81918431,TASWIL5000020230907KABKOTA,Lingga,,0.179612109316,20.9797303182,4326,4,,,Lingga,Kepulauan Riau,,0,Bintan,,1812.4729418102693,1812.4729418102693,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,21.03,21,1999.15471589,TASWIL5000020230907KABKOTA,Natuna,,0.162762283563,8.60363695558,4326,4,,,Natuna,Kepulauan Riau,,0,Bintan,,1820.5942468227029,1820.5942468227029,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,21.04,21,2210.81918431,TASWIL5000020230907KABKOTA,Lingga,,0.179612109316,20.9797303182,4326,4,,,Lingga,Kepulauan Riau,,0,Bintan,,1861.2866237235685,1861.2866237235685,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,21.01,21,1317.14889443,TASWIL5000020230907KABKOTA,Bintan,,0.107022771703,9.38969706177,4326,4,,,Bintan,Kepulauan Riau,,0,,,1860.8901374730272,1860.8901374730272,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,21.02,21,930.452564925,TASWIL5000020230907KABKOTA,Karimun,,0.075598621154,9.43879730693,4326,4,,,Karimun,Kepulauan Riau,,0,Bintan,,1880.5219565555178,1880.5219565555178,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,21.04,21,2210.81918431,TASWIL5000020230907KABKOTA,Lingga,,0.179612109316,20.9797303182,4326,4,,,Lingga,Kepulauan Riau,,0,Bintan,,1851.6272901956463,1851.6272901956463,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,21.03,21,1999.15471589,TASWIL5000020230907KABKOTA,Natuna,,0.162762283563,8.60363695558,4326,4,,,Natuna,Kepulauan Riau,,0,Bintan,,1851.9267434308547,1851.9267434308547,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,21.05,21,627.026673005,TASWIL5000020230907KABKOTA,Kepulauan Anambas,,0.0510125213247,11.4316710623,4326,4,,,Kepulauan Anambas,Kepulauan Riau,,0,Natuna,,1822.12326701954,1822.12326701954,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,21.01,21,1317.14889443,TASWIL5000020230907KABKOTA,Bintan,,0.107022771703,9.38969706177,4326,4,,,Bintan,Kepulauan Riau,,0,,,1875.2959926851154,1875.2959926851154,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,21.02,21,930.452564925,TASWIL5000020230907KABKOTA,Karimun,,0.075598621154,9.43879730693,4326,4,,,Karimun,Kepulauan Riau,,0,Bintan,,1914.2837123151896,1914.2837123151896,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
