system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000002,BA03050040,,,,,,,82.02,82,2276.9033771,TASWIL5000020230907KABKOTA,Halmahera Tengah,,0.184982985689,7.3608696152,4326,4,,,Halmahera Tengah,Maluku Utara,,0,,Maluku,1811.4405497104501,1811.4405497104501,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,82.04,82,8096.39686622,TASWIL5000020230907KABKOTA,Halmahera Selatan,,0.657856789551,27.2121857846,4326,4,,,Halmahera Selatan,Maluku Utara,,0,Maluku Utara,Maluku,1806.1706456258441,1806.1706456258441,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,82.06,82,6488.73037559,TASWIL5000020230907KABKOTA,Halmahera Timur,,0.527239627637,7.18067669931,4326,4,,,Halmahera Timur,Maluku Utara,,0,Halmahera Tengah,Maluku,1804.8475405554268,1804.8475405554268,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,82.72,82,1703.32201727,TASWIL5000020230907KABKOTA,Kota Tidore Kepulauan,,0.138384976715,3.26471097388,4326,5,,,Kota Tidore Kepulauan,Maluku Utara,,0,Halmahera Tengah,Maluku,1811.4405388996765,1811.4405388996765,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,BA03050040,,,,,,,,82,0.163100696412,TASWIL5000020230907KABKOTA,Maluku Utara,"Berdasarkan Kepmendagri 050-145 Tahun 2022, masuk ke Maluku Utara",1.32514832227E-5,0.0257277529637,4326,999,,,,Maluku Utara,,0,,Maluku,1857.368932778797,1857.368932778797,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,82.02,82,2276.9033771,TASWIL5000020230907KABKOTA,Halmahera Tengah,,0.184982985689,7.3608696152,4326,4,,,Halmahera Tengah,Maluku Utara,,0,,Maluku,1845.3629131324992,1845.3629131324992,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,82.03,82,3404.62867693,TASWIL5000020230907KABKOTA,Halmahera Utara,,0.276698055692,6.80859208674,4326,4,,,Halmahera Utara,Maluku Utara,,0,Maluku Utara,Maluku,1832.4013779885825,1832.4013779885825,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,82.04,82,8096.39686622,TASWIL5000020230907KABKOTA,Halmahera Selatan,,0.657856789551,27.2121857846,4326,4,,,Halmahera Selatan,Maluku Utara,,0,Maluku Utara,Maluku,1829.192757190274,1829.192757190274,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,82.06,82,6488.73037559,TASWIL5000020230907KABKOTA,Halmahera Timur,,0.527239627637,7.18067669931,4326,4,,,Halmahera Timur,Maluku Utara,,0,Halmahera Tengah,Maluku,1827.0774921633135,1827.0774921633135,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,82.72,82,1703.32201727,TASWIL5000020230907KABKOTA,Kota Tidore Kepulauan,,0.138384976715,3.26471097388,4326,5,,,Kota Tidore Kepulauan,Maluku Utara,,0,Halmahera Tengah,Maluku,1818.9029449188781,1818.9029449188781,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
