system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,52.06,52,4216.08823404,TASWIL5000020230907KABKOTA,Bima,,0.346201515238,9.13558511536,4326,4,,,Bima,Nusa Tenggara Barat,,0,,,1827.654497532938,1827.654497532938,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,52.05,52,2281.7519954,TASWIL5000020230907KABKOTA,Dompu,,0.187363045703,4.42381124853,4326,4,,,Dompu,Nusa Tenggara Barat,,0,,,1828.8723034117766,1828.8723034117766,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,52.01,52,923.057962969,TASWIL5000020230907KABKOTA,Lombok Barat,,0.0758331064669,3.71265582936,4326,4,,,Lombok Barat,Nusa Tenggara Barat,,0,,,1826.1888780461368,1826.1888780461368,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,52.02,52,1169.52187249,TASWIL5000020230907KABKOTA,Lombok Tengah,,0.0960952787943,2.45797176196,4326,4,,,Lombok Tengah,Nusa Tenggara Barat,,0,,,1831.245793189474,1831.245793189474,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,52.03,52,1606.47001029,TASWIL5000020230907KABKOTA,Lombok Timur,,0.131933298279,3.49807390177,4326,4,,,Lombok Timur,Nusa Tenggara Barat,,0,,,1836.5507910794092,1836.5507910794092,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,52.04,52,6655.91723606,TASWIL5000020230907KABKOTA,Sumbawa,,0.546866950001,9.52746212955,4326,4,,,Sumbawa,Nusa Tenggara Barat,,0,,,1835.3673048301418,1835.3673048301418,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,52.71,52,60.424093739,TASWIL5000020230907KABKOTA,Kota Mataram,,0.00496311726122,0.346948764206,4326,5,,,Kota Mataram,Nusa Tenggara Barat,,0,Lombok Barat,,1826.3541450504072,1826.3541450504072,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,52.06,52,4216.08823404,TASWIL5000020230907KABKOTA,Bima,,0.346201515238,9.13558511536,4326,4,,,Bima,Nusa Tenggara Barat,,0,,,1833.7859301835915,1833.7859301835915,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,52.05,52,2281.7519954,TASWIL5000020230907KABKOTA,Dompu,,0.187363045703,4.42381124853,4326,4,,,Dompu,Nusa Tenggara Barat,,0,,,1845.3012647494916,1845.3012647494916,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,52.01,52,923.057962969,TASWIL5000020230907KABKOTA,Lombok Barat,,0.0758331064669,3.71265582936,4326,4,,,Lombok Barat,Nusa Tenggara Barat,,0,,,1842.6095799473526,1842.6095799473526,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
