system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000001,BA03050040,,,,,,,53.04,53,1127.25008655,TASWIL5000020230907KABKOTA,Belu,,0.0927289736817,2.29261763369,4326,4,,,Belu,Nusa Tenggara Timur,,0,,,1817.4986550801586,1817.4986550801586,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,53.01,53,5136.51008742,TASWIL5000020230907KABKOTA,Kupang,,0.423459507198,6.26740520892,4326,4,,,Kupang,Nusa Tenggara Timur,,0,,,1807.4487289139777,1807.4487289139777,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,53.10,53,1343.83414797,TASWIL5000020230907KABKOTA,Manggarai,,0.11037433796,2.62044875269,4326,4,,,Manggarai,Nusa Tenggara Timur,,0,,,1814.7469426672885,1814.7469426672885,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,53.09,53,1735.63521769,TASWIL5000020230907KABKOTA,Ngada,,0.142589549676,2.86650785507,4326,4,,,Ngada,Nusa Tenggara Timur,,0,,,1822.3199223905674,1822.3199223905674,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,BA03050040,,,,,,,53.11,53,6984.01403441,TASWIL5000020230907KABKOTA,Sumba Timur,,0.575702142252,4.80415749282,4326,4,,,Sumba Timur,Nusa Tenggara Timur,,0,,,1834.8912410726532,1834.8912410726532,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,BA03050040,,,,,,,53.02,53,3933.15111495,TASWIL5000020230907KABKOTA,Timor Tengah Selatan,,0.324167140101,3.32375028444,4326,4,,,Timor Tengah Selatan,Nusa Tenggara Timur,,0,,,1814.8366073636885,1814.8366073636885,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,BA03050040,,,,,,,53.03,53,2623.19983128,TASWIL5000020230907KABKOTA,Timor Tengah Utara,,0.215921651765,3.4787254107,4326,4,,,Timor Tengah Utara,Nusa Tenggara Timur,,0,,,1817.764844420064,1817.764844420064,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,53.21,53,1109.16204574,TASWIL5000020230907KABKOTA,Malaka,,0.0913351434015,2.23370514726,4326,4,,,Malaka,Nusa Tenggara Timur,,0,Belu,,1825.0082895142339,1825.0082895142339,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,53.71,53,159.334041006,TASWIL5000020230907KABKOTA,Kota Kupang,,0.0131469663875,0.949087585397,4326,5,,,Kota Kupang,Nusa Tenggara Timur,,0,Kupang,,1802.601541248851,1802.601541248851,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,53.15,53,3128.99733567,TASWIL5000020230907KABKOTA,Manggarai Barat,,0.257018604578,10.7211601624,4326,4,,,Manggarai Barat,Nusa Tenggara Timur,,0,Manggarai,,1809.0675076016635,1809.0675076016635,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,53.16,53,1396.16423098,TASWIL5000020230907KABKOTA,Nagekeo,,0.114707914625,2.15252417923,4326,4,,,Nagekeo,Nusa Tenggara Timur,,0,Ngada,,1821.9991768090367,1821.9991768090367,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
