system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,1831.4014502829414,1831.4014502829414,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,1844.1968847391802,1844.1968847391802,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,72.04,72,3700.36895105,TASWIL5000020230907KABKOTA,Toli Toli,,0.300661383642,6.23110925864,4326,4,,,Toli Toli,Sulawesi Tengah,,0,,,1825.0988482066855,1825.0988482066855,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,1808.5532629694292,1808.5532629694292,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,72.05,72,3723.57750115,TASWIL5000020230907KABKOTA,Buol,,0.302550461084,5.09315284721,4326,4,,,Buol,Sulawesi Tengah,,0,Buol Toli-Toli,,1812.362535725373,1812.362535725373,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,72.71,72,356.350563393,TASWIL5000020230907KABKOTA,Kota Palu,,0.0289532621911,1.79443709022,4326,5,,,Kota Palu,Sulawesi Tengah,,0,Donggala,,1852.2136229880032,1852.2136229880032,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,72.08,72,5805.60990558,TASWIL5000020230907KABKOTA,Parigi Moutong,,0.471681706999,9.0088464607,4326,4,,,Parigi Moutong,Sulawesi Tengah,,0,Donggala,,1813.4765090917347,1813.4765090917347,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,72.10,72,5225.43453932,TASWIL5000020230907KABKOTA,Sigi,,0.424649274886,4.93091212862,4326,4,,,Sigi,Sulawesi Tengah,,0,Donggala,,1807.8482438759663,1807.8482438759663,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,72.12,72,8736.0062078,TASWIL5000020230907KABKOTA,Morowali Utara,,0.710080520991,7.55980228461,4326,4,,,Morowali Utara,Sulawesi Tengah,,0,Morowali,,1820.5414409754399,1820.5414409754399,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,72.06,72,4486.89109307,TASWIL5000020230907KABKOTA,Morowali,,0.364923238403,9.61444602744,4326,4,,,Morowali,Sulawesi Tengah,,0,Poso,,1842.0519891694564,1842.0519891694564,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,1839.1403865804095,1839.1403865804095,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,1835.0047597292105,1835.0047597292105,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,1847.1102804628513,1847.1102804628513,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,72.12,72,8736.0062078,TASWIL5000020230907KABKOTA,Morowali Utara,,0.710080520991,7.55980228461,4326,4,,,Morowali Utara,Sulawesi Tengah,,0,Morowali,,1843.327655960406,1843.327655960406,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,1807.7694044313716,1807.7694044313716,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,1846.4384601032618,1846.4384601032618,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,1812.4076641805543,1812.4076641805543,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,72.05,72,3723.57750115,TASWIL5000020230907KABKOTA,Buol,,0.302550461084,5.09315284721,4326,4,,,Buol,Sulawesi Tengah,,0,Buol Toli-Toli,,1828.0551233844785,1828.0551233844785,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,BA03050040,,,,,,,72.08,72,5805.60990558,TASWIL5000020230907KABKOTA,Parigi Moutong,,0.471681706999,9.0088464607,4326,4,,,Parigi Moutong,Sulawesi Tengah,,0,Donggala,,1828.6413756856314,1828.6413756856314,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,BA03050040,,,,,,,72.12,72,8736.0062078,TASWIL5000020230907KABKOTA,Morowali Utara,,0.710080520991,7.55980228461,4326,4,,,Morowali Utara,Sulawesi Tengah,,0,Morowali,,1844.8771988755104,1844.8771988755104,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,72.06,72,4486.89109307,TASWIL5000020230907KABKOTA,Morowali,,0.364923238403,9.61444602744,4326,4,,,Morowali,Sulawesi Tengah,,0,Poso,,1829.1724983491283,1829.1724983491283,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,BA03050040,,,,,,,72.09,72,5572.85629148,TASWIL5000020230907KABKOTA,Tojo Una Una,,0.452836480833,13.0042973694,4326,4,,,Tojo Una Una,Sulawesi Tengah,,0,Poso,,1834.7247214544684,1834.7247214544684,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,1854.0687491022993,1854.0687491022993,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,1822.904664843167,1822.904664843167,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000b,BA03050040,,,,,,,72.04,72,3700.36895105,TASWIL5000020230907KABKOTA,Toli Toli,,0.300661383642,6.23110925864,4326,4,,,Toli Toli,Sulawesi Tengah,,0,,,1826.5306791236346,1826.5306791236346,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,1841.3625267059458,1841.3625267059458,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,72.11,72,688.151175627,TASWIL5000020230907KABKOTA,Banggai Laut,,0.0559325004015,10.5352783637,4326,4,,,Banggai Laut,Sulawesi Tengah,,0,Banggai Kepulauan,,1843.1614885386573,1843.1614885386573,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,72.05,72,3723.57750115,TASWIL5000020230907KABKOTA,Buol,,0.302550461084,5.09315284721,4326,4,,,Buol,Sulawesi Tengah,,0,Buol Toli-Toli,,1858.2615470784885,1858.2615470784885,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,BA03050040,,,,,,,72.08,72,5805.60990558,TASWIL5000020230907KABKOTA,Parigi Moutong,,0.471681706999,9.0088464607,4326,4,,,Parigi Moutong,Sulawesi Tengah,,0,Donggala,,1810.928208452044,1810.928208452044,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,BA03050040,,,,,,,72.12,72,8736.0062078,TASWIL5000020230907KABKOTA,Morowali Utara,,0.710080520991,7.55980228461,4326,4,,,Morowali Utara,Sulawesi Tengah,,0,Morowali,,1857.0061603022846,1857.0061603022846,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,BA03050040,,,,,,,72.06,72,4486.89109307,TASWIL5000020230907KABKOTA,Morowali,,0.364923238403,9.61444602744,4326,4,,,Morowali,Sulawesi Tengah,,0,Poso,,1843.4071388126765,1843.4071388126765,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,BA03050040,,,,,,,72.09,72,5572.85629148,TASWIL5000020230907KABKOTA,Tojo Una Una,,0.452836480833,13.0042973694,4326,4,,,Tojo Una Una,Sulawesi Tengah,,0,Poso,,1874.8913516837129,1874.8913516837129,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,1863.2529883833386,1863.2529883833386,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,1869.4449371217192,1869.4449371217192,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000b,BA03050040,,,,,,,72.04,72,3700.36895105,TASWIL5000020230907KABKOTA,Toli Toli,,0.300661383642,6.23110925864,4326,4,,,Toli Toli,Sulawesi Tengah,,0,,,1867.4859587035187,1867.4859587035187,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,1853.5496928736375,1853.5496928736375,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000001,BA03050040,,,,,,,72.07,72,2385.0729336,TASWIL5000020230907KABKOTA,Banggai Kepulauan,,0.193819851822,7.59779235749,4326,4,,,Banggai Kepulauan,Sulawesi Tengah,,0,Banggai,,1841.4173981178014,1841.4173981178014,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000002,BA03050040,,,,,,,72.11,72,688.151175627,TASWIL5000020230907KABKOTA,Banggai Laut,,0.0559325004015,10.5352783637,4326,4,,,Banggai Laut,Sulawesi Tengah,,0,Banggai Kepulauan,,1839.4854594322499,1839.4854594322499,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000003,BA03050040,,,,,,,72.05,72,3723.57750115,TASWIL5000020230907KABKOTA,Buol,,0.302550461084,5.09315284721,4326,4,,,Buol,Sulawesi Tengah,,0,Buol Toli-Toli,,1865.8284236641966,1865.8284236641966,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,BA03050040,,,,,,,72.71,72,356.350563393,TASWIL5000020230907KABKOTA,Kota Palu,,0.0289532621911,1.79443709022,4326,5,,,Kota Palu,Sulawesi Tengah,,0,Donggala,,1876.1438621641364,1876.1438621641364,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008,BA03050040,,,,,,,72.08,72,5805.60990558,TASWIL5000020230907KABKOTA,Parigi Moutong,,0.471681706999,9.0088464607,4326,4,,,Parigi Moutong,Sulawesi Tengah,,0,Donggala,,1863.6843503403738,1863.6843503403738,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000009,BA03050040,,,,,,,72.10,72,5225.43453932,TASWIL5000020230907KABKOTA,Sigi,,0.424649274886,4.93091212862,4326,4,,,Sigi,Sulawesi Tengah,,0,Donggala,,1887.3254080444024,1887.3254080444024,Sentinel-5P TROPOMI CH4,ppb,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
