system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,ch4_mean_ppb,mean,source,unit,year,.geo
0_00000000000000000005,BA03050040,,,,,,,74.01,74,2958.9208572,TASWIL5000020230907KABKOTA,Kolaka,,0.240980839474,5.39527306777,4326,4,,,Kolaka,Sulawesi Tenggara,,0,,,1805.0535998725172,1805.0535998725172,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,74.02,74,5351.85263389,TASWIL5000020230907KABKOTA,Konawe,,0.435602118514,6.84601568998,4326,4,,,Konawe,Sulawesi Tenggara,,0,,,1827.0356803958325,1827.0356803958325,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,BA03050040,,,,,,,74.03,74,1858.09481163,TASWIL5000020230907KABKOTA,Muna,,0.151502694674,5.32849464874,4326,4,,,Muna,Sulawesi Tenggara,,0,,,1818.5951080844648,1818.5951080844648,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,BA03050040,,,,,,,74.06,74,3293.96639913,TASWIL5000020230907KABKOTA,Bombana,,0.268524880662,5.47167246052,4326,4,,,Bombana,Sulawesi Tenggara,,0,Buton,,1831.0164264005648,1831.0164264005648,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,74.14,74,836.955797791,TASWIL5000020230907KABKOTA,Buton Tengah,,0.0682810706644,2.98412837401,4326,4,,,Buton Tengah,Sulawesi Tenggara,,0,Buton,,1835.405028398915,1835.405028398915,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,74.05,74,4237.74051506,TASWIL5000020230907KABKOTA,Konawe Selatan,,0.345208073275,5.59324280043,4326,4,,,Konawe Selatan,Sulawesi Tenggara,,0,Kendari,,1819.7724328737797,1819.7724328737797,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,74.11,74,3992.53107078,TASWIL5000020230907KABKOTA,Kolaka Timur,,0.325055960897,4.62416724675,4326,4,,,Kolaka Timur,Sulawesi Tenggara,,0,Kolaka,,1832.5020226038248,1832.5020226038248,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,74.09,74,4219.81180817,TASWIL5000020230907KABKOTA,Konawe Utara,,0.343408045869,6.15591332033,4326,4,,,Konawe Utara,Sulawesi Tenggara,,0,Konawe,,1817.2070690194903,1817.2070690194903,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,74.10,74,1755.8292261,TASWIL5000020230907KABKOTA,Buton Utara,,0.143115018242,4.67921811895,4326,4,,,Buton Utara,Sulawesi Tenggara,,0,Muna,,1803.578860986721,1803.578860986721,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,BA03050040,,,,,,,74.13,74,818.701593571,TASWIL5000020230907KABKOTA,Muna Barat,,0.0667415576998,2.65906981122,4326,4,,,Muna Barat,Sulawesi Tenggara,,0,Muna,,1815.5111537433745,1815.5111537433745,Sentinel-5P TROPOMI CH4,ppb,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,74.04,74,1669.32863016,TASWIL5000020230907KABKOTA,Buton,,0.136188299866,3.04087674144,4326,4,,,Buton,Sulawesi Tenggara,,0,,,1833.1458745793384,1833.1458745793384,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,BA03050040,,,,,,,74.01,74,2958.9208572,TASWIL5000020230907KABKOTA,Kolaka,,0.240980839474,5.39527306777,4326,4,,,Kolaka,Sulawesi Tenggara,,0,,,1829.520030867138,1829.520030867138,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,74.02,74,5351.85263389,TASWIL5000020230907KABKOTA,Konawe,,0.435602118514,6.84601568998,4326,4,,,Konawe,Sulawesi Tenggara,,0,,,1834.1148698278719,1834.1148698278719,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e,BA03050040,,,,,,,74.03,74,1858.09481163,TASWIL5000020230907KABKOTA,Muna,,0.151502694674,5.32849464874,4326,4,,,Muna,Sulawesi Tenggara,,0,,,1829.9440719008057,1829.9440719008057,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,74.06,74,3293.96639913,TASWIL5000020230907KABKOTA,Bombana,,0.268524880662,5.47167246052,4326,4,,,Bombana,Sulawesi Tenggara,,0,Buton,,1830.3008030418252,1830.3008030418252,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,74.15,74,517.631463505,TASWIL5000020230907KABKOTA,Buton Selatan,,0.042249508051,1.85498741345,4326,4,,,Buton Selatan,Sulawesi Tenggara,,0,Buton,,1833.1458759241998,1833.1458759241998,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,74.14,74,836.955797791,TASWIL5000020230907KABKOTA,Buton Tengah,,0.0682810706644,2.98412837401,4326,4,,,Buton Tengah,Sulawesi Tenggara,,0,Buton,,1828.198230856182,1828.198230856182,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,BA03050040,,,,,,,74.72,74,294.137423231,TASWIL5000020230907KABKOTA,Kota Bau Bau,,0.0240007870008,0.955179337168,4326,5,,,Kota Bau Bau,Sulawesi Tenggara,,0,Buton,,1833.1458766856283,1833.1458766856283,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,BA03050040,,,,,,,74.05,74,4237.74051506,TASWIL5000020230907KABKOTA,Konawe Selatan,,0.345208073275,5.59324280043,4326,4,,,Konawe Selatan,Sulawesi Tenggara,,0,Kendari,,1832.5371329179738,1832.5371329179738,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,BA03050040,,,,,,,74.11,74,3992.53107078,TASWIL5000020230907KABKOTA,Kolaka Timur,,0.325055960897,4.62416724675,4326,4,,,Kolaka Timur,Sulawesi Tenggara,,0,Kolaka,,1838.802041910669,1838.802041910669,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,74.10,74,1755.8292261,TASWIL5000020230907KABKOTA,Buton Utara,,0.143115018242,4.67921811895,4326,4,,,Buton Utara,Sulawesi Tenggara,,0,Muna,,1817.5823950602937,1817.5823950602937,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f,BA03050040,,,,,,,74.13,74,818.701593571,TASWIL5000020230907KABKOTA,Muna Barat,,0.0667415576998,2.65906981122,4326,4,,,Muna Barat,Sulawesi Tenggara,,0,Muna,,1825.7071112308777,1825.7071112308777,Sentinel-5P TROPOMI CH4,ppb,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,74.04,74,1669.32863016,TASWIL5000020230907KABKOTA,Buton,,0.136188299866,3.04087674144,4326,4,,,Buton,Sulawesi Tenggara,,0,,,1830.2606400092793,1830.2606400092793,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,BA03050040,,,,,,,74.01,74,2958.9208572,TASWIL5000020230907KABKOTA,Kolaka,,0.240980839474,5.39527306777,4326,4,,,Kolaka,Sulawesi Tenggara,,0,,,1840.9228646089211,1840.9228646089211,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,BA03050040,,,,,,,74.02,74,5351.85263389,TASWIL5000020230907KABKOTA,Konawe,,0.435602118514,6.84601568998,4326,4,,,Konawe,Sulawesi Tenggara,,0,,,1846.411436928713,1846.411436928713,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000e,BA03050040,,,,,,,74.03,74,1858.09481163,TASWIL5000020230907KABKOTA,Muna,,0.151502694674,5.32849464874,4326,4,,,Muna,Sulawesi Tenggara,,0,,,1824.4509119222832,1824.4509119222832,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000016,BA03050040,,,,,,,74.04,74,0.188157250699,TASWIL5000020230907KABKOTA,Buton,Wilayah terapung,1.53526521797E-5,0.0397338812277,4326,4,,,Buton,Sulawesi Tenggara,,0,,,1828.8204457269367,1828.8204457269367,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,74.06,74,3293.96639913,TASWIL5000020230907KABKOTA,Bombana,,0.268524880662,5.47167246052,4326,4,,,Bombana,Sulawesi Tenggara,,0,Buton,,1856.421573975712,1856.421573975712,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,74.15,74,517.631463505,TASWIL5000020230907KABKOTA,Buton Selatan,,0.042249508051,1.85498741345,4326,4,,,Buton Selatan,Sulawesi Tenggara,,0,Buton,,1838.088246573389,1838.088246573389,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,BA03050040,,,,,,,74.72,74,294.137423231,TASWIL5000020230907KABKOTA,Kota Bau Bau,,0.0240007870008,0.955179337168,4326,5,,,Kota Bau Bau,Sulawesi Tenggara,,0,Buton,,1830.5034259988595,1830.5034259988595,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,BA03050040,,,,,,,74.05,74,4237.74051506,TASWIL5000020230907KABKOTA,Konawe Selatan,,0.345208073275,5.59324280043,4326,4,,,Konawe Selatan,Sulawesi Tenggara,,0,Kendari,,1827.4423385306834,1827.4423385306834,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,BA03050040,,,,,,,74.11,74,3992.53107078,TASWIL5000020230907KABKOTA,Kolaka Timur,,0.325055960897,4.62416724675,4326,4,,,Kolaka Timur,Sulawesi Tenggara,,0,Kolaka,,1812.9859315148844,1812.9859315148844,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,BA03050040,,,,,,,74.12,74,705.711010277,TASWIL5000020230907KABKOTA,Konawe Kepulauan,,0.0574768178025,1.17136047971,4326,4,,,Konawe Kepulauan,Sulawesi Tenggara,,0,Konawe,,1815.2595210486875,1815.2595210486875,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,BA03050040,,,,,,,74.09,74,4219.81180817,TASWIL5000020230907KABKOTA,Konawe Utara,,0.343408045869,6.15591332033,4326,4,,,Konawe Utara,Sulawesi Tenggara,,0,Konawe,,1842.7098317942,1842.7098317942,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,74.10,74,1755.8292261,TASWIL5000020230907KABKOTA,Buton Utara,,0.143115018242,4.67921811895,4326,4,,,Buton Utara,Sulawesi Tenggara,,0,Muna,,1839.6354576198344,1839.6354576198344,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f,BA03050040,,,,,,,74.13,74,818.701593571,TASWIL5000020230907KABKOTA,Muna Barat,,0.0667415576998,2.65906981122,4326,4,,,Muna Barat,Sulawesi Tenggara,,0,Muna,,1863.571641772483,1863.571641772483,Sentinel-5P TROPOMI CH4,ppb,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,BA03050040,,,,,,,74.04,74,1669.32863016,TASWIL5000020230907KABKOTA,Buton,,0.136188299866,3.04087674144,4326,4,,,Buton,Sulawesi Tenggara,,0,,,1801.115984505046,1801.115984505046,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,BA03050040,,,,,,,74.02,74,5351.85263389,TASWIL5000020230907KABKOTA,Konawe,,0.435602118514,6.84601568998,4326,4,,,Konawe,Sulawesi Tenggara,,0,,,1845.5605110216866,1845.5605110216866,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000e,BA03050040,,,,,,,74.03,74,1858.09481163,TASWIL5000020230907KABKOTA,Muna,,0.151502694674,5.32849464874,4326,4,,,Muna,Sulawesi Tenggara,,0,,,1841.513409807101,1841.513409807101,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,74.06,74,3293.96639913,TASWIL5000020230907KABKOTA,Bombana,,0.268524880662,5.47167246052,4326,4,,,Bombana,Sulawesi Tenggara,,0,Buton,,1849.88242933867,1849.88242933867,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,BA03050040,,,,,,,74.14,74,836.955797791,TASWIL5000020230907KABKOTA,Buton Tengah,,0.0682810706644,2.98412837401,4326,4,,,Buton Tengah,Sulawesi Tenggara,,0,Buton,,1858.3298335748036,1858.3298335748036,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,BA03050040,,,,,,,74.05,74,4237.74051506,TASWIL5000020230907KABKOTA,Konawe Selatan,,0.345208073275,5.59324280043,4326,4,,,Konawe Selatan,Sulawesi Tenggara,,0,Kendari,,1848.5416957873563,1848.5416957873563,Sentinel-5P TROPOMI CH4,ppb,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
