system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,31.01,31,10.7251053119,TASWIL5000020230907KABKOTA,Adm. Kep. Seribu,,8.75535814177E-4,1.45056426944,4326,4,,,Adm. Kep. Seribu,DKI Jakarta,,0,Kota Administrasi Jakarta Utara,,2014-01,0.23279035990444144,1,0.23279035990444144,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,31.73,31,125.000163905,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Barat,,0.0102126244854,0.607655013726,4326,5,,,Kota Adm. Jakarta Barat,DKI Jakarta,,0,,,2014-01,0.5466133343292049,1,0.5466133343292049,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,31.71,31,47.5648333185,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Pusat,,0.0038862033689,0.384853777008,4326,5,,,Kota Adm. Jakarta Pusat,DKI Jakarta,,0,,,2014-01,0.0,1,0.0,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,31.74,31,144.941694929,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Selatan,,0.0118442192208,0.836977598965,4326,5,,,Kota Adm. Jakarta Selatan,DKI Jakarta,,0,,,2014-01,0.0,1,0.0,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,31.75,31,185.537786142,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Timur,,0.0151611182006,1.04259215609,4326,5,,,Kota Adm. Jakarta Timur,DKI Jakarta,,0,,,2014-01,0.0,1,0.0,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,31.72,31,147.211715039,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Utara,,0.0120264901862,1.46226696676,4326,5,,,Kota Adm. Jakarta Utara,DKI Jakarta,,0,,,2014-01,0.0,1,0.0,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,31.01,31,10.7251053119,TASWIL5000020230907KABKOTA,Adm. Kep. Seribu,,8.75535814177E-4,1.45056426944,4326,4,,,Adm. Kep. Seribu,DKI Jakarta,,0,Kota Administrasi Jakarta Utara,,2014-02,0.5066315693595947,2,0.5066315693595947,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,31.73,31,125.000163905,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Barat,,0.0102126244854,0.607655013726,4326,5,,,Kota Adm. Jakarta Barat,DKI Jakarta,,0,,,2014-02,20.304097433639555,2,20.304097433639555,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,31.71,31,47.5648333185,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Pusat,,0.0038862033689,0.384853777008,4326,5,,,Kota Adm. Jakarta Pusat,DKI Jakarta,,0,,,2014-02,35.87084515222408,2,35.87084515222408,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,31.74,31,144.941694929,TASWIL5000020230907KABKOTA,Kota Adm. Jakarta Selatan,,0.0118442192208,0.836977598965,4326,5,,,Kota Adm. Jakarta Selatan,DKI Jakarta,,0,,,2014-02,22.256791951367145,2,22.256791951367145,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
