system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,15.04,15,5453.68918586,TASWIL5000020230907KABKOTA,Batanghari,,0.443266755022,4.90289507058,4326,4,,,Batanghari,Jambi,,0,,,2014-01,0.13847048463022954,1,0.13847048463022954,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,15.08,15,4760.8269901,TASWIL5000020230907KABKOTA,Bungo,,0.386920690897,4.00056571645,4326,4,,,Bungo,Jambi,,0,,,2014-01,0.1661933626277412,1,0.1661933626277412,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,15.01,15,3445.19596494,TASWIL5000020230907KABKOTA,Kerinci,,0.280063747072,3.0994923257,4326,4,,,Kerinci,Jambi,,0,,,2014-01,0.14419607578070903,1,0.14419607578070903,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,15.02,15,7540.11789019,TASWIL5000020230907KABKOTA,Merangin,,0.613008800343,5.14765914154,4326,4,,,Merangin,Jambi,,0,,,2014-01,0.13379818576385552,1,0.13379818576385552,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,15.05,15,5159.62279724,TASWIL5000020230907KABKOTA,Muaro Jambi,,0.419336128927,5.58293463579,4326,4,,,Muaro Jambi,Jambi,,0,Batang Hari,,2014-01,0.3919114986174268,1,0.3919114986174268,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,15.03,15,5935.89445689,TASWIL5000020230907KABKOTA,Sarolangun,,0.48262104282,4.88293910852,4326,4,,,Sarolangun,Jambi,,0,Merangin,,2014-01,0.19882852488855354,1,0.19882852488855354,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,15.06,15,5546.06346241,TASWIL5000020230907KABKOTA,Tanjung Jabung Barat,,0.450644879922,3.81704103024,4326,4,,,Tanjung Jabung Barat,Jambi,,0,,,2014-01,0.667296340544743,1,0.667296340544743,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,15.07,15,4546.62094794,TASWIL5000020230907KABKOTA,Tanjung Jabung Timur,,0.369458053178,4.2877396987,4326,4,,,Tanjung Jabung Timur,Jambi,,0,Tanjung Jabung Barat,,2014-01,0.23352606701559914,1,0.23352606701559914,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,15.09,15,6103.73685325,TASWIL5000020230907KABKOTA,Tebo,,0.496002478373,4.80525126575,4326,4,,,Tebo,Jambi,,0,Bungo,,2014-01,0.10136397038064814,1,0.10136397038064814,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,15.71,15,169.887314505,TASWIL5000020230907KABKOTA,Kota Jambi,,0.0138071582738,0.628202894891,4326,5,,,Kota Jambi,Jambi,,0,,,2014-01,6.481900728437067,1,6.481900728437067,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
