system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000001,BA03050040,,,,,,,63.04,63,2426.17904403,TASWIL5000020230907KABKOTA,Barito Kuala,,0.197385596994,3.14820999039,4326,4,,,Barito Kuala,Kalimantan Selatan,,0,,,2014-01,0.1094820619445905,1,0.1094820619445905,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,63.06,63,1697.22428862,TASWIL5000020230907KABKOTA,Hulu Sungai Selatan,,0.138036632845,2.2746118234,4326,4,,,Hulu Sungai Selatan,Kalimantan Selatan,,0,,,2014-01,0.01873181995451525,1,0.01873181995451525,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,63.07,63,1573.53817917,TASWIL5000020230907KABKOTA,Hulu Sungai Tengah,,0.127964873594,2.31760045166,4326,4,,,Hulu Sungai Tengah,Kalimantan Selatan,,0,,,2014-01,0.020973404845463624,1,0.020973404845463624,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,63.08,63,907.490768485,TASWIL5000020230907KABKOTA,Hulu Sungai Utara,,0.0737904677161,1.51826473554,4326,4,,,Hulu Sungai Utara,Kalimantan Selatan,,0,,,2014-01,0.012122514406680973,1,0.012122514406680973,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,63.02,63,9354.93250433,TASWIL5000020230907KABKOTA,Kotabaru,,0.761031809985,11.9385672048,4326,4,,,Kotabaru,Kalimantan Selatan,,0,,,2014-01,0.06372665987682397,1,0.06372665987682397,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,63.09,63,3473.06892326,TASWIL5000020230907KABKOTA,Tabalong,,0.28230308084,3.9859997747,4326,4,,,Tabalong,Kalimantan Selatan,,0,,,2014-01,0.24899598194824904,1,0.24899598194824904,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,63.01,63,3841.37235643,TASWIL5000020230907KABKOTA,Tanah Laut,,0.312753591958,3.32146775364,4326,4,,,Tanah Laut,Kalimantan Selatan,,0,,,2014-01,0.14549508302114533,1,0.14549508302114533,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,63.05,63,2155.93899497,TASWIL5000020230907KABKOTA,Tapin,,0.175372730702,2.73330795239,4326,4,,,Tapin,Kalimantan Selatan,,0,,,2014-01,0.07639844698569781,1,0.07639844698569781,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,63.03,63,4588.43771449,TASWIL5000020230907KABKOTA,Banjar,,0.373380607941,5.01422308519,4326,4,,,Banjar,Kalimantan Selatan,,0,,,2014-01,0.1023223405325117,1,0.1023223405325117,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,63.71,63,98.3720535788,TASWIL5000020230907KABKOTA,Kota Banjarmasin,,0.00800498247531,0.509215199313,4326,5,,,Kota Banjarmasin,Kalimantan Selatan,,0,,,2014-01,6.062793483202996,1,6.062793483202996,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,63.72,63,305.152648561,TASWIL5000020230907KABKOTA,Kota Banjarbaru,,0.024835316863,0.951653262095,4326,5,,,Kota Banjarbaru,Kalimantan Selatan,,0,Banjar,,2014-01,0.7773627800768735,1,0.7773627800768735,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,BA03050040,,,,,,,63.11,63,1828.51323069,TASWIL5000020230907KABKOTA,Balangan,,0.148668701274,1.96836455225,4326,4,,,Balangan,Kalimantan Selatan,,0,Hulu Sungai Utara,,2014-01,0.2653014863696773,1,0.2653014863696773,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,63.10,63,4884.83273223,TASWIL5000020230907KABKOTA,Tanah Bumbu,,0.39754733494,4.00796147911,4326,4,,,Tanah Bumbu,Kalimantan Selatan,,0,Kotabaru,,2014-01,0.15227382524094488,1,0.15227382524094488,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,63.04,63,2426.17904403,TASWIL5000020230907KABKOTA,Barito Kuala,,0.197385596994,3.14820999039,4326,4,,,Barito Kuala,Kalimantan Selatan,,0,,,2014-02,0.14880611673139255,2,0.14880611673139255,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,63.06,63,1697.22428862,TASWIL5000020230907KABKOTA,Hulu Sungai Selatan,,0.138036632845,2.2746118234,4326,4,,,Hulu Sungai Selatan,Kalimantan Selatan,,0,,,2014-02,0.19384213262806385,2,0.19384213262806385,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,63.07,63,1573.53817917,TASWIL5000020230907KABKOTA,Hulu Sungai Tengah,,0.127964873594,2.31760045166,4326,4,,,Hulu Sungai Tengah,Kalimantan Selatan,,0,,,2014-02,0.17924008296072505,2,0.17924008296072505,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,63.08,63,907.490768485,TASWIL5000020230907KABKOTA,Hulu Sungai Utara,,0.0737904677161,1.51826473554,4326,4,,,Hulu Sungai Utara,Kalimantan Selatan,,0,,,2014-02,0.18636252274225365,2,0.18636252274225365,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,BA03050040,,,,,,,63.02,63,9354.93250433,TASWIL5000020230907KABKOTA,Kotabaru,,0.761031809985,11.9385672048,4326,4,,,Kotabaru,Kalimantan Selatan,,0,,,2014-02,0.11776789939115269,2,0.11776789939115269,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,BA03050040,,,,,,,63.09,63,3473.06892326,TASWIL5000020230907KABKOTA,Tabalong,,0.28230308084,3.9859997747,4326,4,,,Tabalong,Kalimantan Selatan,,0,,,2014-02,0.26130518217026516,2,0.26130518217026516,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
