system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,72.01,72,8252.88151507,TASWIL5000020230907KABKOTA,Banggai,,0.670580585559,8.49690306296,4326,4,,,Banggai,Sulawesi Tengah,,0,,,2014-01,0.0967940242006101,1,0.0967940242006101,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,72.03,72,5126.585553,TASWIL5000020230907KABKOTA,Donggala,,0.416526716282,9.36864933749,4326,4,,,Donggala,Sulawesi Tengah,,0,,,2014-01,0.07089893063892863,1,0.07089893063892863,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,72.04,72,3700.36895105,TASWIL5000020230907KABKOTA,Toli Toli,,0.300661383642,6.23110925864,4326,4,,,Toli Toli,Sulawesi Tengah,,0,,,2014-01,0.06709493070286345,1,0.06709493070286345,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,72.02,72,7545.90888875,TASWIL5000020230907KABKOTA,Poso,,0.613297992351,5.13109954004,4326,4,,,Poso,Sulawesi Tengah,,0,,,2014-01,0.059221497563827434,1,0.059221497563827434,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,72.07,72,2385.0729336,TASWIL5000020230907KABKOTA,Banggai Kepulauan,,0.193819851822,7.59779235749,4326,4,,,Banggai Kepulauan,Sulawesi Tengah,,0,Banggai,,2014-01,0.059047211907281426,1,0.059047211907281426,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,72.11,72,688.151175627,TASWIL5000020230907KABKOTA,Banggai Laut,,0.0559325004015,10.5352783637,4326,4,,,Banggai Laut,Sulawesi Tengah,,0,Banggai Kepulauan,,2014-01,0.07141313700763686,1,0.07141313700763686,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,72.05,72,3723.57750115,TASWIL5000020230907KABKOTA,Buol,,0.302550461084,5.09315284721,4326,4,,,Buol,Sulawesi Tengah,,0,Buol Toli-Toli,,2014-01,0.037689330527141705,1,0.037689330527141705,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,72.71,72,356.350563393,TASWIL5000020230907KABKOTA,Kota Palu,,0.0289532621911,1.79443709022,4326,5,,,Kota Palu,Sulawesi Tengah,,0,Donggala,,2014-01,0.6402003764535464,1,0.6402003764535464,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,72.08,72,5805.60990558,TASWIL5000020230907KABKOTA,Parigi Moutong,,0.471681706999,9.0088464607,4326,4,,,Parigi Moutong,Sulawesi Tengah,,0,Donggala,,2014-01,0.08164311539551669,1,0.08164311539551669,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,72.10,72,5225.43453932,TASWIL5000020230907KABKOTA,Sigi,,0.424649274886,4.93091212862,4326,4,,,Sigi,Sulawesi Tengah,,0,Donggala,,2014-01,0.11312898671116389,1,0.11312898671116389,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
