system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000010,BA03050040,,,,,,,,13,0.0682826025731,TASWIL5000020230907KABKOTA,Sumatera Barat,"Berdasarkan Kepmendagri 050-145 Tahun 2022, masuk ke Sumatera Barat",5.54781520309E-6,0.00864484640236,4326,999,,,,Sumatera Barat,,0,,,2014-01,0.020941121175008664,1,0.020941121175008664,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,BA03050040,,,,,,,,13,0.0896082140888,TASWIL5000020230907KABKOTA,Sumatera Barat,"Berdasarkan Kepmendagri 050-145 Tahun 2022, masuk ke Sumatera Barat",7.28126437791E-6,0.0117466609435,4326,999,,,,Sumatera Barat,,0,,,2014-01,0.07699816786153343,1,0.07699816786153343,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000012,BA03050040,,,,,,,,13,0.502774061004,TASWIL5000020230907KABKOTA,Sumatera Barat,"Berdasarkan Kepmendagri 050-145 Tahun 2022, masuk ke Sumatera Barat",4.0853802907E-5,0.0291935412799,4326,999,,,,Sumatera Barat,,0,,,2014-01,0.004971295941037413,1,0.004971295941037413,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000013,BA03050040,,,,,,,,13,0.0039400947884,TASWIL5000020230907KABKOTA,Sumatera Barat,Tidak ada titik pulau di gazeter 2021,3.20159051351E-7,0.00220462126758,4326,999,,,,Sumatera Barat,,0,,,2014-01,0.1352715790271759,1,0.1352715790271759,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,BA03050040,,,,,,,13.01,13,6045.64886952,TASWIL5000020230907KABKOTA,Pesisir Selatan,,0.491385130568,5.43295017863,4326,4,,,Pesisir Selatan,Sumatera Barat,,0,,,2014-01,0.0936876166782549,1,0.0936876166782549,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,BA03050040,,,,,,,13.02,13,3590.40364624,TASWIL5000020230907KABKOTA,Solok,,0.29173089143,4.12696826975,4326,4,,,Solok,Sumatera Barat,,0,,,2014-01,0.19022901838720535,1,0.19022901838720535,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,BA03050040,,,,,,,13.03,13,3150.57981499,TASWIL5000020230907KABKOTA,Sijunjung,,0.255974947505,3.04634829448,4326,4,,,Sijunjung,Sumatera Barat,,0,,,2014-01,0.15938568757867372,1,0.15938568757867372,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000014,BA03050040,,,,,,,13.04,13,1377.18561858,TASWIL5000020230907KABKOTA,Tanah Datar,,0.111887521384,2.36296910209,4326,4,,,Tanah Datar,Sumatera Barat,,0,,,2014-01,0.24649257340687267,1,0.24649257340687267,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000015,BA03050040,,,,,,,13.05,13,1342.26642306,TASWIL5000020230907KABKOTA,Padang Pariaman,,0.109052305331,2.05428945067,4326,4,,,Padang Pariaman,Sumatera Barat,,0,,,2014-01,0.3346879953153997,1,0.3346879953153997,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,BA03050040,,,,,,,13.06,13,2226.27036018,TASWIL5000020230907KABKOTA,Agam,,0.180866105999,2.81240922023,4326,4,,,Agam,Sumatera Barat,,0,,,2014-01,0.24365648484288674,1,0.24365648484288674,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,BA03050040,,,,,,,13.07,13,3273.40482503,TASWIL5000020230907KABKOTA,Lima Puluh Kota,,0.265935661179,3.90223840362,4326,4,,,Lima Puluh Kota,Sumatera Barat,,0,,,2014-01,0.14828166096875667,1,0.14828166096875667,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,BA03050040,,,,,,,13.08,13,3902.44394674,TASWIL5000020230907KABKOTA,Pasaman,,0.317048331335,3.91441217786,4326,4,,,Pasaman,Sumatera Barat,,0,,,2014-01,0.09213318405981051,1,0.09213318405981051,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,13.09,13,5983.22249475,TASWIL5000020230907KABKOTA,Kepulauan Mentawai,,0.486363474612,14.6985044838,4326,4,,,Kepulauan Mentawai,Sumatera Barat,,0,Padang Pariaman,,2014-01,0.06700096722813073,1,0.06700096722813073,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,13.10,13,2920.92501209,TASWIL5000020230907KABKOTA,Dharmasraya,,0.237344806927,4.35566187689,4326,4,,,Dharmasraya,Sumatera Barat,,0,Sawah Lunto,,2014-01,0.1585725564225524,1,0.1585725564225524,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000f,BA03050040,,,,,,,13.11,13,3282.14396834,TASWIL5000020230907KABKOTA,Solok Selatan,,0.266725287801,3.37288282167,4326,4,,,Solok Selatan,Sumatera Barat,,0,Solok,,2014-01,0.1845200507677765,1,0.1845200507677765,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000016,BA03050040,,,,,,,13.12,13,3852.9928368,TASWIL5000020230907KABKOTA,Pasaman Barat,,0.313023799096,3.78929522955,4326,4,,,Pasaman Barat,Sumatera Barat,,0,Pasaman,,2014-01,0.13944036991718997,1,0.13944036991718997,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,13.71,13,694.336514563,TASWIL5000020230907KABKOTA,Kota Padang,,0.0564153423427,1.86852329569,4326,5,,,Kota Padang,Sumatera Barat,,0,,,2014-01,2.0188172259304795,1,2.0188172259304795,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,BA03050040,,,,,,,13.72,13,58.719942557,TASWIL5000020230907KABKOTA,Kota Solok,,0.00477089422505,0.462536036768,4326,5,,,Kota Solok,Sumatera Barat,,0,,,2014-01,1.4562302275279926,1,1.4562302275279926,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,BA03050040,,,,,,,13.73,13,231.945427384,TASWIL5000020230907KABKOTA,Kota Sawahlunto,,0.018844652169,0.741966895325,4326,5,,,Kota Sawahlunto,Sumatera Barat,,0,,,2014-01,0.3702975660994907,1,0.3702975660994907,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,BA03050040,,,,,,,13.74,13,23.5600725211,TASWIL5000020230907KABKOTA,Kota Padang Panjang,,0.00191410467298,0.272394284942,4326,5,,,Kota Padang Panjang,Sumatera Barat,,0,,,2014-01,2.742710909275164,1,2.742710909275164,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,13.75,13,24.1727381839,TASWIL5000020230907KABKOTA,Kota Bukittinggi,,0.00196384099263,0.267904052675,4326,5,,,Kota Bukittinggi,Sumatera Barat,,0,,,2014-01,6.495734872877077,1,6.495734872877077,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,BA03050040,,,,,,,13.76,13,74.55151181,TASWIL5000020230907KABKOTA,Kota Payakumbuh,,0.00605667804844,0.442988349361,4326,5,,,Kota Payakumbuh,Sumatera Barat,,0,,,2014-01,1.4894364036865702,1,1.4894364036865702,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,BA03050040,,,,,,,13.77,13,64.7672358833,TASWIL5000020230907KABKOTA,Kota Pariaman,,0.00526203753505,0.482581471188,4326,5,,,Kota Pariaman,Sumatera Barat,,0,Pariaman,,2014-01,2.6921045579601297,1,2.6921045579601297,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010,BA03050040,,,,,,,,13,0.0682826025731,TASWIL5000020230907KABKOTA,Sumatera Barat,"Berdasarkan Kepmendagri 050-145 Tahun 2022, masuk ke Sumatera Barat",5.54781520309E-6,0.00864484640236,4326,999,,,,Sumatera Barat,,0,,,2014-02,0.05898393383797477,2,0.05898393383797477,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
