system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,month,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,65.01,65,13879.7866621,TASWIL5000020230907KABKOTA,Bulungan,,1.12893160467,12.2041216348,4326,4,,,Bulungan,Kalimantan Utara,,0,,Kalimantan Timur,2014-01,0.032862770571817884,1,0.032862770571817884,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,65.02,65,38901.8328572,TASWIL5000020230907KABKOTA,Malinau,,3.16364383735,12.8203353951,4326,4,,,Malinau,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-01,0.0023948035334147594,1,0.0023948035334147594,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,65.03,65,13564.2502734,TASWIL5000020230907KABKOTA,Nunukan,,1.10460990486,11.992573583,4326,4,,,Nunukan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-01,0.01962201233307468,1,0.01962201233307468,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,65.04,65,3504.33620182,TASWIL5000020230907KABKOTA,Tana Tidung,,0.285234811366,7.88441740754,4326,4,,,Tana Tidung,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-01,0.05508254428102664,1,0.05508254428102664,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,65.71,65,250.977748171,TASWIL5000020230907KABKOTA,Kota Tarakan,,0.0204238221853,0.723045143869,4326,5,,,Kota Tarakan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-01,1.7605823983989992,1,1.7605823983989992,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,65.01,65,13879.7866621,TASWIL5000020230907KABKOTA,Bulungan,,1.12893160467,12.2041216348,4326,4,,,Bulungan,Kalimantan Utara,,0,,Kalimantan Timur,2014-02,0.054928720286107756,2,0.054928720286107756,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,65.02,65,38901.8328572,TASWIL5000020230907KABKOTA,Malinau,,3.16364383735,12.8203353951,4326,4,,,Malinau,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-02,0.03004906874147026,2,0.03004906874147026,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,65.03,65,13564.2502734,TASWIL5000020230907KABKOTA,Nunukan,,1.10460990486,11.992573583,4326,4,,,Nunukan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-02,0.027810190527214614,2,0.027810190527214614,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,65.04,65,3504.33620182,TASWIL5000020230907KABKOTA,Tana Tidung,,0.285234811366,7.88441740754,4326,4,,,Tana Tidung,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-02,0.0655447940107297,2,0.0655447940107297,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,65.71,65,250.977748171,TASWIL5000020230907KABKOTA,Kota Tarakan,,0.0204238221853,0.723045143869,4326,5,,,Kota Tarakan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-02,1.6504900331762762,2,1.6504900331762762,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,BA03050040,,,,,,,65.01,65,13879.7866621,TASWIL5000020230907KABKOTA,Bulungan,,1.12893160467,12.2041216348,4326,4,,,Bulungan,Kalimantan Utara,,0,,Kalimantan Timur,2014-03,0.16063910426368194,3,0.16063910426368194,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,BA03050040,,,,,,,65.02,65,38901.8328572,TASWIL5000020230907KABKOTA,Malinau,,3.16364383735,12.8203353951,4326,4,,,Malinau,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-03,0.1097673479206133,3,0.1097673479206133,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,BA03050040,,,,,,,65.03,65,13564.2502734,TASWIL5000020230907KABKOTA,Nunukan,,1.10460990486,11.992573583,4326,4,,,Nunukan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-03,0.12082604365581506,3,0.12082604365581506,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,BA03050040,,,,,,,65.04,65,3504.33620182,TASWIL5000020230907KABKOTA,Tana Tidung,,0.285234811366,7.88441740754,4326,4,,,Tana Tidung,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-03,0.21535258177267622,3,0.21535258177267622,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,BA03050040,,,,,,,65.71,65,250.977748171,TASWIL5000020230907KABKOTA,Kota Tarakan,,0.0204238221853,0.723045143869,4326,5,,,Kota Tarakan,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-03,2.372679464772206,3,2.372679464772206,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,BA03050040,,,,,,,65.01,65,13879.7866621,TASWIL5000020230907KABKOTA,Bulungan,,1.12893160467,12.2041216348,4326,4,,,Bulungan,Kalimantan Utara,,0,,Kalimantan Timur,2014-04,0.19085593306252113,4,0.19085593306252113,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,BA03050040,,,,,,,65.02,65,38901.8328572,TASWIL5000020230907KABKOTA,Malinau,,3.16364383735,12.8203353951,4326,4,,,Malinau,Kalimantan Utara,,0,Bulungan,Kalimantan Timur,2014-04,0.16705605403651907,4,0.16705605403651907,VIIRS DNB,nW/cm2/sr,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
