system:index,FCODE,KDBBPS,KDCBPS,KDCPUM,KDEBPS,KDEPUM,KDPBPS,KDPKAB,KDPPUM,LUASWH,METADATA,NAMOBJ,REMARK,SHAPE_Area,SHAPE_Leng,SRS_ID,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,WIADKC,WIADKD,WIADKK,WIADPR,date,mean,ntl_mean,source,unit,year,.geo
0_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,2014,1.5565164701572038,1.5565164701572038,VIIRS DNB,nW/cm2/sr,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,2014,0.3464251687739875,0.3464251687739875,VIIRS DNB,nW/cm2/sr,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,2014,0.449757555716843,0.449757555716843,VIIRS DNB,nW/cm2/sr,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,2014,2.141391920921179,2.141391920921179,VIIRS DNB,nW/cm2/sr,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,2014,14.559037887116892,14.559037887116892,VIIRS DNB,nW/cm2/sr,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,BA03050040,,,,,,,34.02,34,511.706451505,TASWIL5000020230907KABKOTA,Bantul,,0.0419593414755,1.85348379736,4326,4,,,Bantul,Daerah Istimewa Yogyakarta,,0,,,2015,1.8713597988442046,1.8713597988442046,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,BA03050040,,,,,,,34.03,34,1475.133058,TASWIL5000020230907KABKOTA,Gunungkidul,,0.120985921016,2.48608301116,4326,4,,,Gunungkidul,Daerah Istimewa Yogyakarta,,0,,,2015,0.4517182670365761,0.4517182670365761,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,BA03050040,,,,,,,34.01,34,577.223811493,TASWIL5000020230907KABKOTA,Kulon Progo,,0.0473225484411,1.31434324712,4326,4,,,Kulon Progo,Daerah Istimewa Yogyakarta,,0,,,2015,0.6217143664065098,0.6217143664065098,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,BA03050040,,,,,,,34.04,34,573.749483105,TASWIL5000020230907KABKOTA,Sleman,,0.0470265396402,1.55927175326,4326,4,,,Sleman,Daerah Istimewa Yogyakarta,,0,,,2015,2.5969237343318983,2.5969237343318983,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,BA03050040,,,,,,,34.71,34,32.8190625255,TASWIL5000020230907KABKOTA,Kota Yogyakarta,,0.00269050602102,0.349438640016,4326,5,,,Kota Yogyakarta,Daerah Istimewa Yogyakarta,,0,,,2015,15.963647227388327,15.963647227388327,VIIRS DNB,nW/cm2/sr,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
